video_id,author_username,video_description,hashtags,suggested_words,file_name
7093606723998551342,nowtoronto,NEWS: Senator #ElizabethWarren expresses her anger about the #SupremeCourt potentially overturning Roe v Wade & stripping away #abortion rights.,"['elizabethwarren', 'supremecourt', 'abortion']",,Sec2Gr3_77217.csv
7296562916235431173,secretthirdthing,a reminder not to fall for imperialist propaganda! #freepalestine #fromtherivertothesea #palestine #falasteen #decolonize #landback #hamas,"['freepalestine', 'fromtherivertothesea', 'palestine', 'falasteen', 'decolonize', 'landback', 'hamas']",,Sec2Gr3_77217.csv
7216835754260040987,ic3peak.music.videos,#ic3peak #ic3nick #ic3 #ndless #protests #music #musicshow #libeshow #musiclive #ic3peakmusicvideo #ic3peakedit #ic3peakсмертибольшенет ,"['ic3peak', 'ic3nick', 'ic3', 'ndless', 'protests', 'music', 'musicshow', 'libeshow', 'musiclive', 'ic3peakmusicvideo', 'ic3peakedit', 'ic3peakсмертибольшенет']","ic3peak, kerosene song, kerosene i came i saw i conquered, Kerosene Whistle, Dead But Pretty Song by IC3PEAK, Kerosene Song By Crystal Castles, Kerosene By Crystal Castles, Russian Music, russian song",Sec2Gr3_77217.csv
7224185293631425818,ic3peak_fan_girl,CR: @🖤Ic3peak🖤 | #ic3peak #nikolaykostylev #nastyakreslina #russia #government #shuttingdown #concert #capcut #ic3peak_fan_girl ,"['ic3peak', 'nikolaykostylev', 'nastyakreslina', 'russia', 'government', 'shuttingdown', 'concert', 'capcut', 'ic3peak_fan_girl']","ic3peak, ic3peak warned us, ic3peak concert shut down, concert, russia, ic3peak marching, ic3peak songs, kerosene ic3peak, Russia Moscow, Dead But Pretty Song By IC3PEAK",Sec2Gr3_77217.csv
7286157872713452832,luizeurovision,😭😭 #ic3peak #reaction #youtube #ic3peakплакплак #ic3peakсмертибольшенет #russians #russian #russia #russianlanguage #russiansongs #slovensko🇸🇰 #luizgrx #luizeurovision #preteba❤️ #protebestránka #reactionvideo #icepeakдосвидания😫☠ #icepeakсмертибольшенет #ifillmyeyeswithkerosenememe #funny #fypシ #deutschland #russia🇷🇺 #fürdich #fyp #fypシ #viralvideo #blowthisup #dlaciebie #polska #ukraine #war #banned #sounds #trend #songs #music #fun #slovenskytiktok #speedsongs #рек #реки #рекомендации #россия#россия🇷🇺 #россияукраина #русский #беларусь #реккккк #москва #реккк #реккккккккккккккккккккккккккхочю #рекомендации❤️ #рекомендації #українськийтікток #україна🇺🇦 #funnyvideos ,"['ic3peak', 'reaction', 'youtube', 'ic3peakплакплак', 'ic3peakсмертибольшенет', 'russians', 'russian', 'russia', 'russianlanguage', 'russiansongs', 'slovensko🇸🇰', 'luizgrx', 'luizeurovision', 'preteba❤️', 'protebestránka', 'reactionvideo', 'icepeakдосвидания😫☠', 'icepeakсмертибольшенет', 'ifillmyeyeswithkerosenememe', 'funny', 'fypシ', 'deutschland', 'russia🇷🇺', 'fürdich', 'fyp', 'fypシ', 'viralvideo', 'blowthisup', 'dlaciebie', 'polska', 'ukraine', 'war', 'banned', 'sounds', 'trend', 'songs', 'music', 'fun', 'slovenskytiktok', 'speedsongs', 'рек', 'реки', 'рекомендации', 'россия#россия🇷🇺', 'россияукраина', 'русский', 'беларусь', 'реккккк', 'москва', 'реккк', 'реккккккккккккккккккккккккккхочю', 'рекомендации❤️', 'рекомендації', 'українськийтікток', 'україна🇺🇦', 'funnyvideos']",,Sec2Gr3_77217.csv
7275457473610272032,luizeurovision,Context (ic3peak was banned bcs their songs were critism and secrets of the government!) #коламбияпикчерзнепредставляет #россия #россия🇷🇺 #москва #ic3peakсмертибольшенет #ic3peak #ic3peakплакплак #ic3peaksurpremacy🛐 #ic3peakedits #icepeakдосвидания #icepeakсмертибольшенет #icepeakсмертибольшенет😈 #icepeakдосвидания😫☠ #icepeakedittrrst #viralvideo #russia #russiangovernment #blacklisted #blowthisup #putinhuilo #putinedit #putinhuylo🇺🇦💪 #reaction #meme #pov #funny #funnyvideos #deathnomoreicp3eak #slovakia_tiktokers #luizeurovision #taninjazzвиртуальнаялюбовь #fypシ #viraltiktok #fyppppppppppppppppppppppp ,"['коламбияпикчерзнепредставляет', 'россия', 'россия🇷🇺', 'москва', 'ic3peakсмертибольшенет', 'ic3peak', 'ic3peakплакплак', 'ic3peaksurpremacy🛐', 'ic3peakedits', 'icepeakдосвидания', 'icepeakсмертибольшенет', 'icepeakсмертибольшенет😈', 'icepeakдосвидания😫☠', 'icepeakedittrrst', 'viralvideo', 'russia', 'russiangovernment', 'blacklisted', 'blowthisup', 'putinhuilo', 'putinedit', 'putinhuylo🇺🇦💪', 'reaction', 'meme', 'pov', 'funny', 'funnyvideos', 'deathnomoreicp3eak', 'slovakia_tiktokers', 'luizeurovision', 'taninjazzвиртуальнаялюбовь', 'fypシ', 'viraltiktok', 'fyppppppppppppppppppppppp']",,Sec2Gr3_77217.csv
7279149995620617504,luizeurovision,💔 #russiansong #russia #russiantiktok #russianmusic #russiangirl #russiangirl🇷🇺 #luizeurovision #putin #putinhuylo🇺🇦💪 #viralvideo #россия #nastyakreslina #nickkostylevforpresident #icepeakдосвидания #icepeakдосвидания😫☠ #icepeakсмертибольшенет #icepeakedittrrst #icepeakfan #ic3peak #ic3peakплакплак #ic3peakdeadbutpretty #ic3peaklive #ic3peaksurpremacy🛐 #ic3peakсмертибольшенет #ic3peaksof #russianarmy #russianarmy🇷🇺 #україна🇺🇦 #українськийтікток #украина🇺🇦 #україна #россия🇷🇺 #рекомендации #рекомендации❤️ #євробачення #russiavsukraine #dlaciebie #dlaciebie😏 #dlaciebie❤️ #protebe #preteba #slovensko🇸🇰 #czech #easterneuropean #fürdich #foryou #blowthisup #českytiktok #pourtoi #protests ,"['russiansong', 'russia', 'russiantiktok', 'russianmusic', 'russiangirl', 'russiangirl🇷🇺', 'luizeurovision', 'putin', 'putinhuylo🇺🇦💪', 'viralvideo', 'россия', 'nastyakreslina', 'nickkostylevforpresident', 'icepeakдосвидания', 'icepeakдосвидания😫☠', 'icepeakсмертибольшенет', 'icepeakedittrrst', 'icepeakfan', 'ic3peak', 'ic3peakплакплак', 'ic3peakdeadbutpretty', 'ic3peaklive', 'ic3peaksurpremacy🛐', 'ic3peakсмертибольшенет', 'ic3peaksof', 'russianarmy', 'russianarmy🇷🇺', 'україна🇺🇦', 'українськийтікток', 'украина🇺🇦', 'україна', 'россия🇷🇺', 'рекомендации', 'рекомендации❤️', 'євробачення', 'russiavsukraine', 'dlaciebie', 'dlaciebie😏', 'dlaciebie❤️', 'protebe', 'preteba', 'slovensko🇸🇰', 'czech', 'easterneuropean', 'fürdich', 'foryou', 'blowthisup', 'českytiktok', 'pourtoi', 'protests']","ic3peak, ic3peak warned us, mama they say i'm territories, ic3peak warned us translate english, ic3peak song translation, ic3peak songs, ic3peak let it burn, ic3peak blacklist, Russian Music, russian song",Sec2Gr3_77217.csv
7294505454531628289,messialbiceleste,Not hard to figure out who Leo Messi’s son Mateo is 😂😂 #mateomessi #messi #miami #football #messifans #messilover #foryou #viral #fyp,"['mateomessi', 'messi', 'miami', 'football', 'messifans', 'messilover', 'foryou', 'viral', 'fyp']","mateo messi, messi complaining about mateo, messi, lord mateo messi, messi kids, mateo messi funny moment, mateo messi trolling, mateo messi playing football, lord mateo, mateo messi skills",Sec2Gr3_77217.csv
7291685144912465185,unique.planet,Flowers are growing in Antarctica 🧊🐻‍❄️💐 #antarctica #flowers #climate #fy ,"['antarctica', 'flowers', 'climate', 'fy']",,Sec2Gr3_77217.csv
7288531043681062149,valkiar,#wakeup #climatechange #revolution #capitalism #globalwarming #ecofacism #corecore #real ,"['wakeup', 'climatechange', 'revolution', 'capitalism', 'globalwarming', 'ecofacism', 'corecore', 'real']","the flowers are blooming in antarctica, flowers are blooming in antarctica, Flowers In Antarctica, Black Mirror, climate change, industrial revolution, flowers in antarctica blooming meaning, antarctica, capitalism, core core",Sec2Gr3_77217.csv
7294056756106317098,halimas.goatstatus,"I refuse to believe it man, just shut up your mouse obamaaa💔. #fyp #freepalestine🇵🇸❤️ #shocking #news #viral #presidentobama #palestine ","['fyp', 'freepalestine🇵🇸❤️', 'shocking', 'news', 'viral', 'presidentobama', 'palestine']","obama instagram post, malik obama palestine, obama israel, obama palestine post, shut up your obama, malia obama palestine post, obama instagram palestine, obama instagram, obama war criminal, obama war crimes",Sec2Gr3_77217.csv
7293334515353734442,haseeblegal,#obama #palestine #gaza #muslim #israel #news #barackobama ,"['obama', 'palestine', 'gaza', 'muslim', 'israel', 'news', 'barackobama']",,Sec2Gr3_77217.csv
