video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
6952507208781417733,2021-04-18T10:38:53,12,US,"Ear Piercing, Earring, Conch Ear Pierced, what to do after getting ears pierced, What Is A Keloid?",204600,1602,596,4900000,#duet with @yung.clark Keloid #keloid #skincare #dermdoctor #learnontiktok #tiktokpartner,False,,dermdoctor,DermDoctor | Dr. Shah,,,,,,True
7309497257810726187,2023-12-06T10:02:43,73,FR,"panera charged lemonade, charged lemonade, panera, panera bread, panera bread charged lemonade, Panera Coffee, Lemonade, Panera Bread Bowl, Panera Bread Order, Panera Bread Soups",256600,27400,8289,4300000,Panera Bread’s caffeinated “charged lemonade” has been accused of killing another person.  #fyp ,False,,brutamerica,Brut.,,,,,,True
7298445331094687018,2023-11-06T15:15:50,23,US,"angel reese, 2 line layup, Lsu Women's Basketball, lsu, angel reese highlights, angel reese and shaq, Candy Corn, angel reese basketball, angel reese gpa, angel reese and flaujae",460500,729,1776,6500000,Angel Reese Q&A 🐅  #lsu #collegebasketball #lsutigers #angelreese ,False,,bleacherreport,bleacherreport,,,,,,True
7290630278312185134,2023-10-16T14:49:17,15,US,,31200,108,202,364200,Full article here: https://www.rollingstone.com/culture/culture-news/israeli-government-responds-to-gigi-hadid-pro-palestine-instagram-post-1234855024/amp/ #freepalestine #freepalestine🇵🇸❤️ #stopbombingpalestine #ceasefire #gigihadid #censorship #suppression #fyp ,False,,rulaoftheworld,rula 🍉,,,,,,False
7308565273932500254,2023-12-03T21:46:09,5,US,,338400,6999,3961,1500000,I know…I know. #fypシ゚viral #trend #fyp #short #bored #funny ,False,,joe_4president2,WHO IS JOEY?! 🎀,,,,,,False
7288063740715470110,2023-10-09T16:49:43,26,US,"World Trade Center, New York, One World Trade Center, new york city, NYC Rainbow 2023 World Trade Center, New York, Manhattan",4300000,427500,40900,60500000,World Trade Center Today #newyork #911memorial #NYC #🇦🇱 ,False,,lucky6_lucky6,| Daily Updates |,,,,,,False
7292120542654500129,2023-10-20T15:12:03,5,SE,"black passport, diplomatic passport, International Relations Major, international relations, international student, Studying Abroad, black diplomatic passport, diplomat career, Passport, global citizen",100600,1044,599,1100000,Time to switch majors #internationalrelations #diplomat #unitednations #student #internationalstudent #internationalcouple #abroad #politics ,False,,lilimannin,𝐿𝒾𝓁𝒾 ☁️,,,,,,False
7301148849052192042,2023-11-13T22:06:36,12,US,"rachel zegler, Rachel Zegler Singing, Rachel Ziegler Hunger Games, the hunger games rachel zegler, rachel zegler interviews, ballad of songbirds and snakes, The Hunger Games: The Ballad Of Songbirds & Snakes, the hunger games rachel zegler interview, hunger games songbirds and snakes, hunger games ballad of songbirds",31100,64,310,306300,"#RachelZegler  talks about her first day playing Lucy Gray Baird in #HungerGames  film ""The Ballad of Songbirds and Snakes.""",False,,varietymagazine,Variety,,,,,,True
7287524507089243438,2023-10-08T05:58:04,60,US,,796400,16100,20000,15400000,Asking Israelis about Palestine 🇮🇱🇵🇸 #atiftv #fyp #interview #palestine #israel #lebanon #streetinterview  #publicinterview #steveinthestreets ,False,,atif.tv,atif.tv,,,,,,False
7297753003363290398,2023-11-04T19:29:02,5,US,,153700,1824,363,1500000,love must really be tf blind #dating #relationships #datingadvice #love #fypage #viralvideo ,False,,ilenemusic,ILENE,,,,,,False
7169684867792260395,2022-11-24T15:39:12,40,US,,39200,901,111,522800,Home for Thanksgiving y’all😘🦃🧡@rogers21106 @emmabeim4 @mamatwosix! #foryoupage #thanksgiving #daughters,False,,erinbeimfohr,Erin_Beim4,,,,,,False
7289861490230709547,2023-10-14T13:05:57,40,US,"babymint, cherry bullet linlin, babymint ot9, babymint vitamin, babymint members, lin lin baby mint, KPop Song, babymint boy member, babymint hellokitty",36700,1548,720,229600,BABYMINT! VITAMIN! #babymint #薄荷水晶 #薄荷水晶babymint #tpop #taiwan #cpop #kpop #jpop #rock #hyperpop #未來少女 #未來少女薄荷水晶 #survivalshow #vote ,False,,the.official.naevis,Nævis (babyMINT #1 promoter),,,,,,False
7303271447374466346,2023-11-19T15:23:29,81,US,,279600,6046,6079,1400000,Im so tired of this argument  #freepalestine #palestine #palestineisrael #freepalestine🇵🇸 #israel #freegaza #gaza #zionists #palestine🇵🇸 ,False,,icedvanillatriplelatte,~,,,,,,False
7294050397147139370,2023-10-25T20:01:04,21,US,"taeyeon surgeries, taeyeon before and after, taeyeon, taeyeon special, kpop, kpop fyp, Kpop Idols, Entertainment, beomgyu, Entertainment Industry",72400,540,468,446700,I want the Taeyeon special 🤨 and i want if for free since y'all wont give me another album from her 🙄 #smentertainment #kpop #kpopfyp #asinglebeomgyu #kpopidol ,False,,a_single_beomgyu,Antonio,,,,,,False
7233557031687474475,2023-05-15T19:35:47,42,US,"famu, Florida International University, college, fiu university, university, College In Florida, College Students, college life, College TikTok, College Student Life",1760,101,44,53200,Florida: Honest College Marketing #greenscreen #college #university #collegelife #education #student #school #students #love #memes #studentlife #study #instagram #photography #india #football #highschool #instagood #bhfyp #classof #friends #motivation #engineering #sports #meme #like #collegegirls #covid #follow #collegefootball #collegestudent ,False,,alexcumming98,Alex Cumming,,,,,,False
7294095684465167662,2023-10-25T22:56:44,7,US,,313500,457,3376,3600000,,False,,kate.ingliss,Kate,,,,,,False
7299649206082407711,2023-11-09T21:07:15,114,US,"priscilla movie, priscilla presley, elvis and priscilla, elvis presley, Priscilla, elvis and priscilla age gap, jackie rowland, graceland elvis presley, Elvis Movie, jacob elordi elvis",891100,2353,3047,8700000,Replying to @Christina Gibson565 #greenscreen elvis had soo many enablers around him!! Every opportunity priscilla would have had to question him it seems like he had someone on his payroll normalizing his behavior :/ #priscillapresley #elvis #elvisandme  ,False,,lauraediez,Laura,,,,,,False
7284358284012883246,2023-09-29T17:10:44,16,US,,4690,72,26,4100000,The @kissproducts Halloween Limited Edition lashes are perfect for any Halloween look. #KISSHalloweenPartner Which pair are you wearing this year? #kisslashes ,True,,tijerarayemua,Tijera Fleming,,,,,,False
7289581783690071339,2023-10-13T19:00:32,11,US,,10000,130,349,70800,"since yall saying yall stand with them, leave your homes and give it to them #palestine #israel ",False,,masturalol,mastura,,,,,,False
7301317665166019882,2023-11-14T09:01:46,7,US,,1400000,1044,3946,15300000,If i was the ex id be cackling but also want my stuff back #design #livingroom #beige #redflag #ex,False,,trauma.pit,🧃🦖☄️,,,,,,False
7291331109692902699,2023-10-18T12:08:45,28,US,,3196,1140,237,64400,severe weather and nor’easter coming this weekend 🫡😅 #newengland #weather #massachusetts #boston #maine #rhodeisland #newyork ,False,,everydaymaggie,everydaymaggie,,,,,,False
7286906024571751710,2023-10-06T13:57:17,57,US,,242300,713,754,102200000,✨All about keeping the skin hydrated and nourished on and off the golf course @Olay Skin Care  ☺️🏌️‍♀️ #ad #olaypartner #cartgirl #golf #golfers #golftiktok #hyaluronicacid #skintok #bodycare ,True,,cassholland,Cass Holland,,,,,,True
7299906638071254314,2023-11-10T13:46:10,25,US,,107000,2932,4085,700300,"Thousands of Egyptian fans of the Al-Ahly Football Club, based out of Cairo, chant in solidarity with Palestine. #Palestine #StandWithPalestine #FreePalestine #Gaza #Egypt ",False,,btnewsroom,BreakThrough News,,,,,,False
7290288721490873643,2023-10-15T16:43:49,12,US,,379600,6640,1642,1900000,#miltok #military #usmc #marines #army #navy #airforce #fypシ #fyp #viral #zyxcba ,False,,luc.iferd,#!*^?,,,,,,False
7079057498497355050,2022-03-25T11:18:35,47,US,"anna devley, Inventing Anna, anna delvey interview, anna sorokin, Anna Delvey Explained, anna delvey real footage, Anna Story, anna delvey yacht scene, anna delvey chateau marmont, anna delvey real voice",41500,139,332,1300000,Who is Anna Delvey? The villain or the antihero? Let me know in the comments. Full video on YouTube! #annadelvey #inventinganna #scammers,False,,katimorton,"Kati Morton, LMFT",,,,,,True
7288868567003614510,2023-10-11T20:52:52,7,US,"taylor swift premiere, Eras Tour Movie, taylor swift travis kelce, taylor swift haircut, taylor swift movie, the eras tour movie premiere, The Eras Tour Movie, taylor swift movie premiere, taylor swift eras tour movie, eras tour",1300000,37800,5359,7100000,#taylorswift has arrived at the #tserastourmovie premiere!!! ,False,,todayshow,TODAY Show,,,,,,True
7282840229529013547,2023-09-25T14:59:53,145,US,"jamaica, jamaica beaches, caribbean, Caribbean Vacation, tourism in the caribbean, Vacation Travel, Tourism, Caribbean Beaches, Travel And Vacation, vacation",543200,22100,6163,3200000,You know who can’t access Jamaica’s white-sand beaches? Jamaicans.  #VisitJamaica #Jamaica #TravelJamaica #Caribbean #Vacation ,False,,ajplus,ajplus,,,,,,True
