video_id,video_keywords,video_description,suggested_words
7290307333714906399,"['lil', 'tjay', 'lil', 'tay', 'edits', 'florida', 'kilos', 'guitar', 'lil', 'tay', 'benzema', 'lil', 'tay', 'years', 'ago', ""ain't"", 'worthy', 'nut', 'lil', 'tay', 'black', 'phone', 'lil', 'tay', 'lil', 'tay', 'new', 'music', 'illuminati', 'footage', 'lil', 'tay', 'lil', 'tay', 'mummy', 'filming', 'crop', 'bro', 'shes', 'funny', 'liltay']",bro shes so funny #liltay ,"lil tjay, Lil Tay Edits, florida kilos guitar, lil tay benzema, Lil Tay 5 Years Ago, you ain't worthy of this nut lil tay, the black phone lil tay, Lil Tay New Music, illuminati footage lil tay, lil tay mummy i was filming crop"
7298902711041445166,"['melania', 'trump', 'hello', 'watch', 'drive', 'milania', 'hello', 'interview', 'aoc', 'alright', 'listen', 'aoc', 'listen', 'okay', 'anderson', 'cooper', 'melania', 'trump', 'melania', 'saying', 'hello', 'bill', 'clinton', 'staring', 'ivanka', 'us', 'history', 'moments', 'listen', 'listen', 'aoc', 'food', 'family', 'melaniatrump', 'donaldtrump', 'billclinton', 'hillaryclinton', 'ivankatrump', 'georgebush', 'kamalaharris', 'aoc']",Food on your family #melaniatrump #donaldtrump #billclinton #hillaryclinton #ivankatrump #georgebush #kamalaharris #aoc ,"melania trump hello, Now Watch This Drive, milania hello interview, aoc alright listen, aoc listen okay, anderson cooper melania trump, melania saying hello, bill clinton staring at ivanka, us history moments, listen listen aoc"
7304054414858489134,"['matt', 'rife', 'palestine', 'matt', 'rife', 'ashley', 'gavin', 'ashley', 'gavin', 'incident', 'ashley', 'gavin', 'palestine', 'gavin', 'minneapolis', 'ashley', 'gavin', 'podcast', 'lgbtq', 'ashley', 'gavin', 'apologizing', 'free', 'palestine', 'f', 'antisemitism', 'please', 'rather', 'arguing', 'online', 'go', 'donate', 'time', 'money', 'call', 'reps', 'register', 'ppl', 'vote', 'etc', 'performative', 'allyship', 'helps', 'much', 'comment', 'wars', 'dont', 'help', 'freepalestine', 'gay', 'lesbian', 'funnylesbian', 'lgbt', 'ashleygavin']","Free Palestine, f*** antisemitism, please rather than arguing online go donate your time or money, call your reps, register ppl to vote, etc. performative allyship only helps so much. Comment wars don't help at all. #freepalestine #gay #lesbian #funnylesbian #lgbt #ashleygavin ","matt rife palestine, matt rife, Ashley Gavin, ashley gavin incident, ashley gavin palestine, gavin, Minneapolis, ashley gavin podcast, Lgbtq, ashley gavin apologizing"
7287680374539423018,"['shani', 'louk', 'truck', 'israel', 'music', 'festival', 'israeli', 'news', 'shani', 'louk', 'full', 'video', 'truck', 'shani', 'louk', 'didnt', 'deserve', 'hamas', 'attacking', 'israel', 'taking', 'families', 'kill', 'death', 'femals', 'getting', 'harassed', 'hamas', 'gaza', 'killing', 'president', 'announced', 'stand', 'israel', 'help', 'going', 'ww', 'shanilouk', 'hamasgaza', 'israelisunderatttacked', 'israel', 'hamasattackisrael', 'ww', 'rip', 'sadnews']",Shani Louk didn’t deserve this at all Hamas is attacking Israel and taking their families to kill them to death but femals are getting harassed by Hamas Gaza and killing them. The President announced that we stand with Israel and help them we going to WW3. #shanilouk #hamasgaza #israelisunderatttacked #israel #hamasattackisrael #WW3 #rip #sadnews ,"shani louk truck, israel music festival, israeli news, shani louk full video truck"
7296913266008182047,"['napoleon', 'trend', 'dj', 'khaled', 'standing', 'submarine', 'imploding', 'simulation', 'dj', 'khaled', 'submarine', 'throw', 'dj', 'khaled', 'meme', 'submarine', 'gone', 'missing', 'meme', 'russian', 'submarine', 'submarine', 'military', 'footage', 'submersible', 'cant', 'wait', 'see', 'halloween', 'costumes', 'another', 'month', 'instagramreels', 'djkhaled', 'meme', 'viral', 'submarine', 'floptok']",i can’t wait to see their halloween costumes in another month or so #fyp #fypシ #instagramreels #djkhaled #meme #viral #submarine #floptok ,"napoleon trend, dj khaled standing up, submarine imploding simulation, Dj Khaled, submarine throw, Dj Khaled Meme, submarine gone missing meme, russian submarine, submarine military footage, Submersible"
7245365693011479850,"['real', 'neffatari', 'neff', 'davis', 'aka', 'person', 'anna', 'delvey', 'didnt', 'scam', 'weeks', 'skinspiration', 'listen', 'episode', 'podcast', 'beauty', 'bosses', 'available', 'spotify', 'apple', 'podcasts', 'annadelvey', 'inventinganna', 'inventingannanetflix', 'skinspiration', 'nfl', 'beautybosses', 'drlaradevgan']","The REAL Neffatari (Neff) Davis — aka the only person Anna Delvey didn’t scam — is this week’s SKINSPIRATION 💎 Listen to her episode of my podcast, Beauty Bosses 💄 Available on Spotify and Apple Podcasts  #annadelvey #inventinganna #inventingannanetflix #skinspiration #nfl #beautybosses #drlaradevgan ",
7297044924862647595,"['selena', 'gomez', 'selena', 'tiktok', 'selena', 'gomez', 'play', 'victim', 'selena', 'gomez', 'deleting', 'instagram', 'selena', 'gomez', 'tiktok', 'videos', 'selena', 'gomez', 'video', 'selena', 'gomez', 'unfollowing', 'selena', 'gomez', 'interviews', 'moments', 'selena', 'gomez', 'chin', 'selena', 'gomez', 'paris', 'selena', 'gomez', 'favors', 'like', 'girl', 'aint', 'airport', 'need', 'announce', 'yoir', 'departure', 'selenagomez', 'celebritynews', 'selenagomezplayingvictim', 'greenscreen', 'celebritynewsdaily', 'selenagomezpalestine']","Selena Gomez is doing herself no favors, like girl this aint an airport, no need to announce yoir departure. 🤦🏻‍♀️ #selenagomez #celebritynews #selenagomezplayingvictim #greenscreen #celebritynewsdaily #selenagomezpalestine ","Selena Gomez, Selena TikTok, selena gomez play victim, selena gomez deleting instagram, Selena Gomez Tiktok Videos, selena gomez video, selena gomez unfollowing, Selena Gomez Interviews Moments, Selena Gomez Chin, Selena Gomez Paris"
7301784366332562730,"['didnt', 'know', 'karen', 'going', 'attending', 'politics', 'trumptrain', 'trump', 'maga', 'donaldtrump', 'funny', 'smallbusiness', 'familygathering', 'funny', 'drama', 'tiktokshop', 'tiktokismytherapy', 'dramastarter', 'relatable', 'redwave', 'texas']",I didnt know karen was going to be attending. 😂 #politics #trumptrain #trump #maga #donaldtrump #funny #smallbusiness #familygathering #funny #drama #tiktokshop #tiktokismytherapy #dramastarter #fyp #relatable #redwave #texas ,
7295843462497226015,"['megan', 'thee', 'stallion', 'soul', 'eater', 'megan', 'thee', 'stallion', 'soul', 'eater', 'death', 'kid', 'megan', 'thee', 'stallion', 'anime', 'megan', 'thee', 'stallion', 'cosplay', 'soul', 'eater', 'opening', 'megan', 'thee', 'stallion', 'costume', 'soul', 'eater', 'costume', 'soul', 'eater', 'edit', 'meg', 'kid', 'wins', 'halloween', 'meganthesestallion', 'megan', 'hotgirl', 'souleater', 'anime', 'deaththekid', 'halloween', 'greenscreen']",Meg the kid wins halloween for me 😭 #meganthesestallion #megan #hotgirl #souleater #anime #deaththekid #halloween2023 #greenscreen ,"Megan Thee Stallion, Soul Eater, megan thee stallion soul eater, death the kid, megan thee stallion anime, megan thee stallion cosplay, soul eater opening, megan thee stallion costume, soul eater costume, soul eater edit"
7296347290229378334,"['earpods', 'college', 'life', 'apple', 'airpods', 'unholy', 'airpods', 'computer', 'college', 'student', 'life', 'airport', 'tiktok', 'college', 'listen', 'airpods', 'funny', 'tiktok', 'videos', 'tried', 'make', 'funny', 'tiktok', 'ended', 'shattering', 'computer', 'screen', 'instead', 'airpodsareevil', 'collegelife']",tried to make a funny tiktok but ended up shattering my computer screen instead 😜🔫 #airpodsareevil #collegelife ,"earpods, College Life, Apple AirPods, unholy airpods, Computer, College Student Life, Airport TikTok, college, Listen With AirPods, funny tiktok videos"
