,video_id,video_date,video_keywords,nyt_keywords,nyt_headline,cosine_sim
274,7308223637524319530,2023-12-02,"['sherlock', 'shinee', 'oh', ""i'm"", 'curious', 'yeah', 'shinee', 'mma', 'taemin', 'curious', 'shinee', 'jonghyun', 'oh', ""i'm"", 'curious', 'oh', 'im', 'curious', 'shinee', 'sherlock', 'shinee', 'mma', 'shinee', 'band', 'shinee_official', 'taemin', 'casually', 'taking', 'foot', 'long', 'steps', 'taemin', 'shinee', 'mma', 'sherlock', 'kpop', 'ndgen']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.5805802
298,7307278494868851999,2023-11-30,"['woongki', 'woongki', 'seunghwan', 'hyeongjun', 'cravity', 'woong', 'ki', 'hyeongjun', 'cravity', 'band', 'boys', 'planet', 'hyeongjun', 'edits', 'kim', 'ji', 'woong', '-', 'boys', 'planet', 'cravityofficial', 'kpop', 'edits', 'woongki', 'adorable', 'episode', 'woongki', 'hyeongjun', 'cravity', 'boysplanet', 'kpop', 'kpopedit']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.57137537
303,7304755085349784875,2023-11-23,"['best', 'mexican', 'thanksgiving', 'turkey', 'thanksgiving', 'mexican', 'turkey']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.62951565
307,7308043913095433515,2023-12-02,"['crazy', 'kpop', 'stans', 'real', 'good', 'hiding', 'crazy', 'kpop', 'kpopmemes']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.5794988
308,7307682908267990315,2023-12-01,"['cant', 'believe', 'actually', 'happening', 'sistar', 'hyolyn', 'bora', 'sistar', '씨스타', '보라', '효린', 'kpop']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.57423407
351,7309251598851542314,2023-12-05,"['united', 'grief', 'tell', 'truth', 'dance', 'group', 'paris', 'cav', 'united', 'grief', 'united', 'grief', 'dance', 'group', 'united', 'grief', 'edit', 'kendrick', 'lamar', 'dance', 'dance', 'performances', 'dance', 'kendrick', 'lamar', 'united', 'grief', 'tell', 'em', 'tell', 'em', 'tell', 'em', 'dance', 'competition', 'paris', 'cav', 'choreography', 'like', 'let', 'js', 'pack', 'competitive', 'dance', 'relatable', 'viral', 'hiphop']","['two', 'thousand', 'twenty', 'three', 'dancing', 'la', 'horde', 'dance', 'group', 'cullberg', 'ballet', 'judson', 'dance', 'theater', 'balanchine', 'george', 'cunningham', 'merce', 'harrell', 'trajal', 'hay', 'deborah', 'ouramdane', 'rachid', 'ja', 'bowen', 'hollander', 'madeline', 'horse', 'solos', 'dance', 'beach', 'birds', 'dance', 'best', 'dance', 'performances']",Best Dance Performances of 2023,0.57916385
409,7303271447374466346,2023-11-19,"['gaza', 'sea', 'zionists', 'explained', 'im', 'tired', 'argument', 'freepalestine', 'palestine', 'palestineisrael', 'freepalestine', 'israel', 'freegaza', 'gaza', 'zionists', 'palestine']","['zionism', 'israel', 'gaza', 'war', '2023', 'anti', 'semitism', 'palestinians', 'jews', 'judaism', 'anti', 'defamation', 'league', 'greenblatt', 'jonathan', '1970', 'hamas', 'israel', 'the', 'question', 'anti-zionism', 'antisemitism']",The Question of Anti-Zionism and Antisemitism,0.765604
463,7308135769384684831,2023-12-02,"['guess', 'choreography', 'sound', 'guessing', 'choreo', 'sound', 'gigi', 'lakers', 'cheerleader', 'golden', 'state', 'warriors', 'dance', 'team', 'guess', 'cheer', 'jenny', 'lakers', 'cheerleader', 'guessing', 'choreography', 'guess', 'choreography', 'lakers', 'lakers', 'cheerleaders', 'running', 'back', 'lakers', 'dancechallenge', 'dancersoftiktok', 'lakergirls']","['coaches', 'managers', 'cheerleaders', 'aldama', 'monica', 'navarro', 'college', 'coach', 'netflix', 'series', '‘cheer’', 'retires', 'from', 'cheerleading']",Coach in Netflix Series ‘Cheer’ Retires From Cheerleading,0.563642
597,7305044614749244702,2023-11-24,"['honestly', 'casting', 'gale', 'president', 'snow', 'becoming', 'serious', 'sport', 'kdrama', 'kdramas', 'kdramatiktok', 'kdramalover', 'kdramacasting', 'fancast', 'fancasting', 'thehungergames', 'fy', 'thehungergamescast', 'thehungergamestrilogy', 'koreandramas', 'koreanmovies', 'actors', 'actor', 'thg', 'thehungergamescatchingfire', 'thehungergamesmockingjay']","['ackland', 'joss', 'deaths', 'obituaries', 'actors', 'actresses', 'theater', 'movies', 'london', 'england', 'joss', 'ackland,', 'busy,', 'versatile', 'actor', 'stage', 'screen,', 'dies']","Joss Ackland, Busy, Versatile Actor on Stage and Screen, Dies at 95",0.55725265
599,7306521067537993006,2023-11-28,"['notice', 'mainly', 'ggs', 'redvelvet', 'nayeon', 'loona', 'twice', 'bts', 'girlsgeneration', 'fromis_', 'newjeans', 'shinee', 'kpop']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.6685324
644,7303736121735843118,2023-11-20,"['jason', 'schwartzman', 'sejanus', 'hunger', 'games', 'snow', 'falls', 'top', 'flickerman', 'hunger', 'games', 'whistle', 'flo', 'rida', 'jason', 'schwartzman', 'hunger', 'games', 'snow', 'hunger', 'games', 'hunger', 'games', 'songbirds', 'snakes', 'coriolanus', 'snow', 'finnick', 'hunger', 'games', 'favs', 'bosas', 'hungergames']","['movies', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', 'the', 'hunger', 'games', 'movie', 'lawrence', 'francis', '1971', 'collins', 'suzanne', '1962', 'blyth', 'tom', 'zegler', 'rachel', '2001', '‘the', 'hunger', 'games’', 'is', 'back.', 'here’s', 'what', 'you', 'need', 'know.']",‘The Hunger Games’ Is Back. Here’s What You Need to Know.,0.74750173
662,7309337354563702062,2023-12-05,"['proceeds', 'go', 'palestine', 'purchase', 'atxpartiesforpalestine', 'instagram', 'atx', 'palestinian', 'designed', 'ran', 'first', 'event', 'november', 'th', 'raised', 'nearly', 'k', 'door', 'fees', 'merch', 'sales', 'donating', 'proceeds', 'connectinghumanity_', 'provides', 'esims', 'resources', 'palestinians', 'gaza', 'sold', 'stock', 'event', 'shirts', 'going', 'donated', 'percentage', 'put', 'towards', 'producing', 'next', 'batch', 'essentially', 'triple', 'amount', 'keep', 'every', 'drop', 'donate', 'cause', 'time', 'continue', 'cycle', 'small', 'group', 'made', 'mostly', 'student', 'volunteers', 'freepalestine', 'freepalestine', 'gaza', 'pali', 'istandwithpalestine', 'palestine', 'fromtherivertotheseapalastinewillbefree', 'vivavivapalestina']","['israel', 'gaza', 'war', '2023', 'palestinians', 'gaza', 'strip', 'united', 'nations', 'humanitarian', 'aid', 'refugees', 'displaced', 'persons', 'shortages', 'crowds', 'gather', 'u.n.', 'aid', 'center', 'supplies', 'dwindle', 'gaza', 'strip']",Crowds Gather at U.N. Aid Center as Supplies Dwindle in Gaza Strip,0.5570669
788,7307025528211459359,2023-11-29,"['mccafferty', 'spotify', 'wrapped', 'korn', 'spotify', 'wrapped', 'hozier', 'melanie', 'martinez', 'spotify', 'wrapped', 'hollywood', 'undead', 'wrapped', 'hozier', 'wrapped', 'ghost', 'band', 'sza', 'spotify', 'wrapped', 'mom', 'jeans', 'spotify', 'spotifywrapped', 'dissapointed']","['pop', 'rock', 'music', 'social', 'media', 'spotify', 'swift', 'taylor', 'bad', 'bunny', 'singer', 'taylor', 'swift', 'beats', 'out', 'bad', 'bunny', '’s', 'spotify', 'wrapped']",Taylor Swift Beats Out Bad Bunny in 2023’s Spotify Wrapped,0.58419514
889,7305130986788916510,2023-11-24,"['day', 'ceasefire', 'yet', 'theyre', 'still', 'bmbing', 'gaza', 'youre', 'pro', 'isnotreal', 'youre', 'actually', 'sick', 'freepalestine']","['a', 'cease-fire', 'gaza', 'remains', 'flux']",A Cease-Fire in Gaza Remains in Flux,0.6384942
921,7304686451965316395,2023-11-23,"['turkey', 'trot', 'families', 'rise', 'turkeytrot', 'happythanksgiving', 'thanksgiving', 'thanksgiving', 'krun', 'happythanksgiving']","['internal', 'storyline', 'thanksgiving', 'day', 'a', 'thanksgiving', 'pep', 'talk']",A Thanksgiving Pep Talk,0.6921434
935,7295897009209314603,2023-10-30,"['performing', 'day', 'stunt', 'last', 'year', 'gidle', 'mama', 'mamaawards', 'mybag', 'kpop', 'coreyxkenshin']","['blackpink', 'limits', 'k-pop', 'maximalism']",Blackpink and the Limits of K-Pop Maximalism,0.55208457
976,7307491309479071018,2023-12-01,"['ignore', 'text', 'idk', 'tf', 'tat', 'redvelvet', 'kpop', 'blowthisup', 'xzybca', 'viral', 'kpop']","['audio', 'neutral', 'informative', 'k', 'pop', 'bts', 'music', 'group', 'jung', 'kook', '1997', 'english', 'language', 'jung', 'kook,', 'bts', 'english', 'language', 'k-pop']","Jung Kook, BTS and English Language K-Pop",0.59482163
998,7306633031006129438,2023-11-28,"['jimmy', 'carter', 'young', 'jimmy', 'rosalynn', 'carter', 'hospice', 'jimmy', 'carter', 'hospice', 'jimmycarter', 'jimmy', 'rosalynn', 'carter', 'young', 'jimmy', 'carter', 'rosalynn', 'cnn', 'jimmy', 'carter', 'jimmy', 'carter', 'presidency', 'jimmy', 'carter', 'palestine', 'greenscreenvideo', 'love', 'jimmy', 'carter', 'roslynn', 'carter', 'potus']","['united', 'states', 'politics', 'government', 'funerals', 'memorials', 'carter', 'jimmy', 'carter', 'rosalynn', 'americans', 'glimpse', 'jimmy', 'carter’s', 'frailty', 'his', 'resolve']",Americans Glimpse Jimmy Carter’s Frailty and His Resolve,0.72772413
1001,7307090893700402433,2023-11-29,"['sorry', 'besties', 'dont', 'make', 'rules', 'spotifywrapped', 'spotify', 'spotifysoundtown', 'music', 'burlington', 'sanluisobispo', 'cambridge', 'boulder', 'madison', 'honolulu', 'spotifywrapped']","['spotify', 'burlington', 'vt', 'music', 'vermont', 'why', 'does', 'spotify', 'think', 'i', 'belong', 'burlington?']",Why Does Spotify Think I Belong in Burlington?,0.56886
1005,7302911905918717227,2023-11-18,"['much', 'rent', 'door', 'wont', 'close', 'nyc', 'rent', 'apartment', 'viral', 'hurricane', 'hurricanebridgitmendler']","['real', 'estate', 'housing', 'residential', 'renting', 'leasing', 'real', 'estate', 'queens', 'nyc', 'bronx', 'nyc', 'buffalo', 'ny', 'where', 'are', 'country’s', 'hottest', 'rental', 'markets?']",Where Are the Country’s Hottest Rental Markets?,0.5556183
