,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"A 2021 state election law cut in half the runoff calendar in Georgia, which had about twice as many days of early voting before last year’s Senate runoffs.","Georgia has eclipsed its daily record for early voting twice this week in the state’s nationally watched Senate runoff election, but even if the state keeps up the pace, it appears unlikely to match early voting turnout levels from the 2021 runoffs.","Georgia’s Senate Runoff Sets Records for Early Voting, but With a Big Asterisk",2022-12-01T00:00:04+0000,article,U.S.,News,"United States Politics and Government;internal-sub-only-nl;Elections, Senate;Georgia;Midterm Elections (2022);Warnock, Raphael G;Walker, Herschel;Atlanta (Ga);Absentee Voting"
1,"The idea reflects frustration with the difficulty in holding anyone accountable in the war, and actually reaching trials in a new court is likely to be very hard.","The European Union’s top official on Wednesday proposed the creation of a United Nations-backed court to investigate and prosecute possible Russian crimes in the war in Ukraine, reflecting growing calls in Kyiv and the West for holding Moscow accountable for atrocities committed since its invasion.","Special Court Needed for Russian Crimes in Ukraine, E.U. Chief Says",2022-12-01T00:00:13+0000,article,World,News,"Russian Invasion of Ukraine (2022);Civilian Casualties;War Crimes, Genocide and Crimes Against Humanity;Treaties;European Commission;International Criminal Court;North Atlantic Treaty Organization;Starlink Satellite Constellation (SpaceX);von der Leyen, Ursula;Zelensky, Volodymyr;Putin, Vladimir V;Musk, Elon;Blinken, Antony J"
2,"Mr. Pence, while promoting his new book at the DealBook Summit, frowned upon the idea of the Justice Department’s taking action against his former boss.","NEW YORK — Former Vice President Mike Pence leaned into Republican talking points on Wednesday about Elon Musk and Disney while walking a familiar fine line on his former boss, delivering a message seemingly geared toward conservatives who will decide whether he is a viable presidential contender in 2024.",Mike Pence Plays to the G.O.P. Base From a Times Stage,2022-12-01T00:06:23+0000,article,Business Day,News,"Books and Literature;United States Politics and Government;Conservatism (US Politics);Storming of the US Capitol (Jan, 2021);Presidential Election of 2020;Vice Presidents and Vice Presidency (US);New York Times;Twitter;Walt Disney Company;Pence, Mike;Sorkin, Andrew Ross;Trump, Donald J;So Help Me God (Book)"
3,The bloodshed continues. Will it make a difference?,Here’s a factoid filled with holiday anti-cheer: The country went through three infamous mass shootings in November.,Armed for the Holidays,2022-12-01T00:21:04+0000,article,Opinion,Op-Ed,"Mass Shootings;Gun Control;Law and Legislation;Murphy, Christopher Scott;University of Virginia Shooting (2022);Colorado Springs Shooting (Nov, 2022);Chesapeake, Va, Walmart Shooting (Nov, 2022);United States;Connecticut"
4,"The onetime crypto mogul also says he’s running out of funds, holed up in the Bahamas.","The FTX founder Sam Bankman-Fried said on Wednesday that his parents “bore no responsibility” for the downfall of his crypto exchange and the trading arm, Alameda Research, which he founded.",Sam Bankman-Fried’s Phone Call to His Parents: ‘There Might Be a Liquidity Issue’,2022-12-01T00:22:55+0000,article,Business Day,News,"Regulation and Deregulation of Industry;Alameda Research LLC;HK FTX Trading Ltd (Futures Exchange);Bankman-Fried, Sam;Sorkin, Andrew Ross"
5,The fallen founder of the cryptocurrency empire said it was his “duty” to talk about the exchange’s collapse.,Why would Sam Bankman-Fried want to speak to the world while under investigation?,"Ignoring Legal Advice, Sam Bankman-Fried Speaks on FTX",2022-12-01T00:33:30+0000,article,Business Day,News,"HK FTX Trading Ltd (Futures Exchange);Bankman-Fried, Sam"
6,"The city has long struggled with a lack of investment in its core infrastructure and diminished funding for city services like the water supply, trash pickup and road repairs.","WASHINGTON — The Justice Department has sharply increased its role in monitoring the antiquated and failing water system in Jackson, Miss., reaching an agreement to help stabilize the drinking water supply in the city after tens of thousands of residents had no access to water over the summer.",Justice Dept. Strikes Deal to Address Struggling Water System in Jackson,2022-12-01T00:39:39+0000,article,U.S.,News,"Decisions and Verdicts;Water;Suits and Litigation (Civil);States (US);Water Pollution;Environmental Protection Agency;Justice Department;Garland, Merrick B;Mississippi"
7,"The singer, songwriter and keyboardist, who died on Wednesday, was a hitmaker for Fleetwood Mac whose crystalline voice and roots in the blues gave her music a distinct emotional punch.","The singer, songwriter and keyboardist Christine McVie, who died on Wednesday at 79, was the serene eye of the storm in Fleetwood Mac, one of rock history’s most tumultuous and beloved bands. She was also the glue that held the group together across drastically different eras, joining in 1970 shortly after the departure of its founding member, the blues guitarist Peter Green, and anchoring the band in its more commercially successful second phase, after Lindsey Buckingham and Stevie Nicks came aboard.",Christine McVie’s 12 Essential Songs,2022-12-01T00:48:19+0000,article,Arts,News,"Pop and Rock Music;McVie, Christine;Fleetwood Mac;Rumours (Album)"
8,"Mr. Musk, who had said the company was trying to sabotage Twitter, met with Apple’s chief executive, Tim Cook, on Wednesday.","SAN FRANCISCO — In a series of tweets on Monday, Elon Musk, the owner of Twitter, accused Apple of sabotaging his social media company by cutting back advertising and threatening to remove the Twitter app from the App Store.",Elon Musk Says ‘Misunderstanding’ With Apple Is Resolved,2022-12-01T01:03:08+0000,article,Technology,News,"Apple Inc;Twitter;Cook, Timothy D;Musk, Elon;Computers and the Internet;Social Media;Mobile Applications;Software;Advertising and Marketing;Censorship"
9,Voter suppression is one of the surest cures for apathy. Nothing makes you value a thing like someone trying to steal it from you.,"Tuesday afternoon, I waited over an hour and a half to vote in Atlanta in the Georgia Senate runoff between Democrat Raphael Warnock and Republican Herschel Walker.",Georgia Voters Defy Efforts to Suppress Them,2022-12-01T01:51:19+0000,article,Opinion,Op-Ed,"Georgia;Midterm Elections (2022);Voting Rights, Registration and Requirements;United States Politics and Government;Elections, Senate;Senate;Walker, Herschel;Warnock, Raphael G"
