,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,President Trump’s aides were delighted that news of his Thanksgiving Day visit to Afghanistan stayed under wraps.,"BAGRAM AIR FIELD, Afghanistan — It may be the leakiest White House in history. The news media has unearthed details of President Trump’s calls with foreign leaders, his candid assessments of senior aides and his private daily schedules.",A Leak-Prone White House Finally Manages to Keep a Secret,2019-12-01T00:15:08+0000,article,U.S.,News,Afghanistan War (2001- )
1,The Buckeyes quarterback threw one of his four touchdown passes in a 56-27 win immediately after returning from an injury scare.,"ANN ARBOR, Mich. — The throw was only one of 25 that Ohio State quarterback Justin Fields attempted on Saturday against Michigan. But considering the dramatic circumstances that surrounded it, the 30-yard strike from Fields may be the one that is remembered most.",Justin Fields Has ‘Heisman Moment’ in Ohio State’s Win Over Michigan,2019-12-01T00:33:57+0000,article,Sports,News,"Football (College);Ohio State University;University of Michigan;Fields, Justin (1999- )"
2,A personal loss has prompted Eileen Shiffrin to step away from coaching her daughter after the two decided “it was important for her to get back to her life.”,"KILLINGTON, Vt. — Mikaela Shiffrin, the two-time Olympic gold medalist, has charged through the opening stage of a new ski racing season with customary success, winning once and finishing second and third in her two other races.",Mikaela Shiffrin Learns a New Way to Win: Without Her Mother as Coach,2019-12-01T00:37:15+0000,article,Sports,News,"World Cup (Skiing);Shiffrin, Mikaela"
3,The actor and environmentalist released a statement on Saturday after President Jair Bolsonaro falsely accused him of funding the fires recently set in the Amazon rainforest.,The actor and environmentalist Leonardo DiCaprio said on Saturday that he was not going to let President Jair Bolsonaro of Brazil get in the way of his support of the Amazon rainforest.,Leonardo DiCaprio Responds to Brazil’s President About Amazon Fires,2019-12-01T01:03:22+0000,article,World,News,"Social Media;Environment;Fires and Firefighters;Global Warming;Facebook Inc;World Wildlife Fund;AMAZON JUNGLE;Brazil;Bolsonaro, Jair (1955- );DiCaprio, Leonardo;Computers and the Internet"
4,A blocked pipe caused sewage to back up several feet deep in homes in a Queens neighborhood as officials looked at a familiar culprit on the heels of Thanksgiving.,"A blocked pipe sent sewage flooding into at least 80 homes in a Queens neighborhood on Saturday, with city officials pointing to a familiar culprit on the heels of Thanksgiving: cooking grease poured down a drain.",Cooking Grease Down a Drain Eyed in Sewage Flood of at Least 80 Homes,2019-12-01T01:47:35+0000,article,New York,News,"Sewers and Sewage;Waste Materials and Disposal;Water Pollution;Basements and Cellars;de Blasio, Bill;Jamaica (Queens, NY);Belt Parkway (NY)"
5,Chief Petty Officer Edward Gallagher’s case pits a Pentagon hierarchy committed to enforcing longstanding rules of combat against a commander in chief with no military experience but a finely honed sense of grievance against authority.,"He was limp and dusty from an explosion, conscious but barely. A far cry from the fierce, masked Islamic State fighters who once seized vast swaths of Iraq and Syria, the captive was a scraggly teenager in a tank top with limbs so thin that his watch slid easily off his wrist. ",Trump’s Intervention in SEALs Case Tests Pentagon’s Tolerance,2019-12-01T01:47:50+0000,article,U.S.,News,"Trump, Donald J;Gallagher, Edward (1979- );United States Navy;Navy Seals;Iraq War (2003-11);War Crimes, Genocide and Crimes Against Humanity;Civilian Casualties;Islamic State in Iraq and Syria (ISIS);Spencer, Richard V;United States Defense and Military Forces;United States Politics and Government;internal-national collaboration"
6,"Members of four generations of a family who were returning from a hunting trip died in the accident, according to a statement from a company that two of the victims founded.","A dozen family members were returning home from a hunting trip in South Dakota when their small plane, flying in blizzard-like conditions, crashed shortly after takeoff on Saturday. Nine people, including two children, were killed, the authorities said.","9 Family Members Die in Plane Crash During Storm in South Dakota, Officials Say",2019-12-01T04:12:36+0000,article,U.S.,News,"Aviation Accidents, Safety and Disasters;Snow and Snowstorms;Deaths (Fatalities);AIRLINES AND AIRPLANES;Pilatus Aircraft;South Dakota"
7,"Mutual friends conspired to introduce the couple, in 2011, at a small dinner party to celebrate the groom’s birthday.",Daniella Nadine Berman and Anthony Daniel Cak are to be married Dec. 1 in Brooklyn. Rabbi Amichai Lau-Lavie is to officiate at Brooklyn Winery.,"Daniella Berman, Anthony Cak",2019-12-01T05:00:00+0000,article,Fashion & Style,News,Weddings and Engagements
8,"Quotation of the Day for Sunday, December 1, 2019.","“They’re an equal opportunity exploiter, I’ll tell you that. You could come in with three arms and they wouldn’t care.”","Quotation of the Day: Amazon’s Expansive, Creeping Influence in an American City",2019-12-01T05:06:16+0000,article,Today’s Paper,Quote,
9,"Corrections that appeared in print on Sunday, Dec. 1, 2019.","An article last Sunday about the new 17-mile Crosstown Trail in San Francisco misspelled the surname of the man who spearheaded the path’s creation. He is Bob Siegel, not Seigel. ","Corrections: Dec. 1, 2019",2019-12-01T05:08:27+0000,article,Corrections,News,
