,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,A report by Amnesty International challenges the American military’s claim that the February strikes hit only terrorists and no innocent bystanders.,"WASHINGTON — Two American airstrikes in Somalia in February killed two civilians and injured three more, the human rights group Amnesty International has alleged in a new report. The United States Africa Command has acknowledged those strikes happened, but said they killed only terrorists with the Qaeda-affiliated group Al Shabab.",Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,2020-04-01T00:00:07+0000,article,World,News,"Civilian Casualties;Terrorism;United States Defense and Military Forces;AMNESTY INTERNATIONAL;United States Africa Command;Trump, Donald J;Somalia;Shabab"
1,"With coronavirus-related job losses, many workers are reluctantly seeking charity and unemployment benefits for the first time in their lives.","The cars arrived at the food bank in southern Dallas in a stream — a minivan, a Chevrolet Tahoe, a sedan with a busted window, a Jaguar of unclear vintage. Inside the vehicles sat people who scarcely could believe they needed to be there.",‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01T00:01:20+0000,article,U.S.,News,Unemployment;Food Banks and Pantries;Layoffs and Job Reductions;Philanthropy;GoFundMe;Coronavirus (2019-nCoV)
2,The tunnel’s entrance was not far from a newly constructed portion of the border wall that President Trump visited last September in the Otay Mesa section of San Diego.,"Federal agents seized $29.6 million worth of illegal drugs from a tunnel used by smugglers to enter San Diego from Mexico, a cross-border passageway so sophisticated that it had ventilation, lighting and an underground rail system, the authorities said on Tuesday.","$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says",2020-04-01T00:43:34+0000,article,U.S.,News,"Drug Abuse and Traffic;Border Barriers;Smuggling;Immigration and Emigration;Organized Crime;Border Patrol (US);Drug Enforcement Administration;Immigration and Customs Enforcement (US);Trump, Donald J;California;Mexico;San Diego (Calif);Tijuana (Mexico)"
3,Critics in Congress push to revoke the performing arts center’s piece of the stimulus package as it works to explain its response to the financial crisis.,"Facing criticism for furloughing workers after it was granted $25 million in federal coronavirus relief funding, the John F. Kennedy Center for the Performing Arts on Tuesday defended its need for the bailout and outlined its plans for the money.","As Furloughs Grow, Kennedy Center Defends Use of $25 Million in Aid",2020-04-01T01:38:10+0000,article,Arts,News,"Finances;Art;Coronavirus Aid, Relief, and Economic Security Act (2020);United States Politics and Government;Kennedy, John F, Center for the Performing Arts;National Symphony Orchestra"
4,"Mad magazine editor in chief John Ficarra makes his New York Times Crossword debut, with the able assistance of Patrick Merrell.","WEDNESDAY PUZZLE — Why, yes, look at that, it’s April 1 already. And very often, on April 1, the crossword editors pull some sort of prank on solvers — like this one — but this just isn’t the time to do that. People don’t like having their crossword messed with under normal circumstances, and they certainly don’t want it done while we are in the middle of a global pandemic. The editors get that.",Historic Town in Veszprém County,2020-04-01T02:00:03+0000,article,Crosswords & Games,News,Crossword Puzzles
5,"The president said the measure,  announced Tuesday, would lift the economy, but outside analysts said the administration's rosy numbers did not represent an accurate accounting of its costs. ","WASHINGTON — The Trump administration on Tuesday announced a new rule on automobile fuel efficiency, completing the president’s rollback of Obama-era standards and gutting the federal government’s most important climate change policy.",Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,2020-04-01T02:19:39+0000,article,Climate,News,"Global Warming;Environment;Greenhouse Gas Emissions;Trump, Donald J;United States Politics and Government;Wheeler, Andrew R;Fuel Efficiency;Regulation and Deregulation of Industry;United States Economy;Transportation Department (US);Environmental Protection Agency"
6,"A quick purée, seasoned with lemon and garlic, is a kind of delicious all-purpose dip, sauce and spread.","On the first day of spring, Bryant Terry was at home in Oakland, transferring the compost from a bin in the yard to the raised beds, planting collards, mustard greens, turnips, bok choy, yu choy and early tomatoes. The tour for his new cookbook, “Vegetable Kingdom: The Abundant World of Vegan Recipes,” had been canceled in the chaos of the coronavirus. Restaurants and bars were closed — schools, too. Those who could be at home were staying put. And Terry, a cookbook author and the chef in residence of the Museum of the African Diaspora, was now, like so many parents, a full-time home-schooler.",This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,2020-04-01T03:00:55+0000,article,Magazine,News,Cooking and Cookbooks;Vegetables;Broccoli;Recipes
7,"Quotation of the Day for April 1, 2020.","“We are not at war. Sailors do not need to die. If we do not act now, we are failing to properly take care of our most trusted asset — our sailors.”","Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",2020-04-01T03:01:03+0000,article,Today’s Paper,Quote,
8,"Corrections that appeared in print on Wednesday, April 1, 2020.","Because of an editing error, an article on Tuesday about the Trump administration’s plans to roll back automobile fuel efficiency standards misstated the auto industry’s position on fuel economy. Although the industry has recently improved fuel economy by 2.4 percent annually, it has never said it would strengthen fuel economy standards by 2.4 percent per year.","Corrections: April 1, 2020",2020-04-01T03:11:06+0000,article,Corrections,Correction,
9,"Initially dismissed by some as a Miles Davis imitator, Mr. Roney, who has died of coronavirus complications, emerged as a major musician in his own right.",This obituary is part of a series about people who have died in the coronavirus pandemic.,"Wallace Roney, Jazz Trumpet Virtuoso, Is Dead at 59",2020-04-01T03:19:41+0000,article,Arts,Obituary (Obit),"Roney, Wallace;Deaths (Obituaries);Jazz;Davis, Miles;Coronavirus (2019-nCoV)"
10,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),"Coronavirus, Donald Trump, Asia: Your Wednesday Briefing",2020-04-01T03:31:19+0000,article,Briefing,briefing,
11,The cause of the three-alarm blaze remains under investigation.,"A fire swept through the top floor of a Bronx apartment building on Tuesday night, killing four people and injuring one, officials said.",Fire at Bronx Apartment Building Kills 4,2020-04-01T03:37:42+0000,article,New York,News,"Bronx (NYC);Grand Concourse (Bronx, NY);Fires and Firefighters;Deaths (Fatalities)"
12,"Florida’s governor belatedly directed residents to stay home, but only after a call with President Trump. States raised new concerns about medical supplies, and fears grew about a prolonged global downturn.",This briefing has ended. Read our global live coverage on the coronavirus pandemic here.,"Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics",2020-04-01T04:04:49+0000,article,World,News,"Coronavirus (2019-nCoV);Trump, Donald J;Birx, Deborah L;Epidemics;Deaths (Fatalities)"
13,Live updates on stock market and business news during the coronavirus outbreak.,This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here.,Retailers Under Pressure to Protect Workers,2020-04-01T04:08:33+0000,article,Business Day,News,United States Economy;Standard & Poor's 500-Stock Index;Stocks and Bonds;Coronavirus (2019-nCoV);Economic Conditions and Trends;International Trade and World Market
14,A British thriller series is on Hulu. And “The Iliza Shlesinger Sketch Show” debuts on Netflix.,"BAGHDAD CENTRAL Stream on Hulu. An Iraqi inspector searches post-9/11 Baghdad for his missing daughter in this thriller series. Set around America’s 2003 invasion of Iraq, “Baghdad Central” stars Waleed Zuaiter as Muhsin Al-Khafaji, a former law enforcement operative whose mission requires him to form an uneasy partnership with U.S. forces. (“I’m never sure if they’re going to shoot me in the head,” he says early on.) The series, based on a novel by the scholar Elliott Colla, originally aired on the British network Channel 4 and was generally well-received. “It’s nice to see an Iraq war-set thriller that centers on Iraqi lives for a change,” Ellen E. Jones wrote in a review for The Guardian. “Nice because it’s the right thing for a socially conscious broadcaster to commission, but also just nice because it makes for some refreshingly original entertainment.”",What’s on TV Wednesday: ‘Baghdad Central’ and a Sketch Comedy Show,2020-04-01T05:00:06+0000,article,Arts,News,Television;Movies
15,This word has appeared in eight articles on NYTimes.com in the past year.,_________,Word + Quiz: limn,2020-04-01T06:00:01+0000,article,The Learning Network,News,
16,“The Tonight Show” host said New Yorkers thought the flashing red-and-white light display “meant Target finally got a shipment of toilet paper.”,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. If you’re interested in hearing from The Times regularly about great TV, sign up for our Watching newsletter and get recommendations straight to your inbox.","Empire State Building Coronavirus Tribute Rang a False Alarm, Fallon Jokes",2020-04-01T06:23:20+0000,article,Arts,News,"Colbert, Stephen;Fallon, Jimmy;Kimmel, Jimmy;Meyers, Seth;Noah, Trevor (1984- );Trump, Donald J;Late Show with Stephen Colbert (TV Program);The Daily Show with Trevor Noah (TV Program);The Tonight Show (TV Program)"
17,"Expatriates, especially in New York, have abandoned the lives they built over fear of the inequalities in the American health care system.","SYDNEY, Australia — As countries began sealing their borders against the coronavirus and airlines rapidly slashed flights, Isabel Lo, who is due to give birth in July, had a decision to make: rely on the American health care system or leave her husband to fly home to Australia.",They Made New Lives in the U.S. The Coronavirus Sent Them Fleeing.,2020-04-01T06:52:26+0000,article,World,News,Coronavirus (2019-nCoV);Health Insurance and Managed Care;Foreign Workers;Immigration and Emigration;United States;New York City;Australia
18,"Now that schools have closed, have you created a space for learning in your home?",Has your school shifted to remote learning in response to the coronavirus pandemic? Do you have a dedicated space for learning in your home? What does it look like? What things have you included to help you learn and make your space comfortable? Do you like working there? Why or why not?,Your Learning Space,2020-04-01T07:00:02+0000,article,The Learning Network,News,
19,"Traders scour factories and warehouses, find planes and pilots and look for buyers as hospitals and governments beg for protective gear.",SHANGHAI — Million-dollar wire transfers to strangers. Rumors of hidden supplies in forgotten warehouses. Wheeler-dealers trying to talk regulators and customs officials into letting that one precious shipment through.,Coronavirus Battle Creates a Global ‘Free-for-All’ to Find Masks,2020-04-01T07:00:11+0000,article,Business Day,News,Coronavirus (2019-nCoV);Masks;Protective Clothing and Gear;Factories and Manufacturing;Medical Devices;Freight (Cargo);International Trade and World Market;China;Shortages
20,"“Bluey” is the country’s biggest children’s TV export since “The Wiggles,” speaking with rare frankness to young and old.","SYDNEY, Australia — Joe Brumm’s daughter was 3 when she was first admitted to a hospital with an asthma-like illness. She spent a week in intensive care.",Stuck Inside? Here’s an Australian Kids’ Show Every Parent Can Love,2020-04-01T08:21:45+0000,article,Arts,News,Children and Childhood;Television;Parenting;Dogs;Cartoons and Cartoonists;Australia
21,"Irby’s new essay collection, “Wow, No Thank You,” offers more of her deadpan, confiding voice, which ranges from high silliness to emotionally painful depths.","It’s been 20 years since Anthony Bourdain published his best-selling memoir “Kitchen Confidential,” with its solemn warning: Never order fish on Mondays.","The Wildly Funny Samantha Irby Is Back, Not a Moment Too Soon",2020-04-01T09:00:02+0000,article,Books,Review,"Irby, Samantha;Books and Literature;Wow, No Thank You.: Essays (Book)"
22,Sifting through river muck for treasure — and the lessons of human history.,"I was a magpie as a child; I am a magpie now. My interest is piqued by shiny objects: In my pockets are brass buttons, pressed coins, old brooches. I am fascinated by the things people hold onto, the stuff that rattles talismanic in their bedside tables. A coin, or battered key, a ring from the five-and-dime — ancient codes to crack when someone dies, if no one’s kept their history. I hold dear a pin bearing Patti Smith, and a little jade elephant that lives in the pocket of my handbag. I have a mourning ring that my grandmother left me, of jet and pearl, but whom it mourns I do not know.",Letter of Recommendation: Mudlarking,2020-04-01T09:00:03+0000,article,Magazine,News,"Rivers;Bones;Mines and Mining;Smith, Patti;River Thames (England);London (England)"
