,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"On the pleasures and pains of joining up with other people after a long, quiet time in the Covid doldrums.","I am traveling on a train, reading a book, glad to be alive.","Hello, World. It’s Been a While.",2022-08-01T00:00:09+0000,article,Style,News,"Books and Literature;Arsenal (Soccer Team);Wilde, Oscar;Everett, Rupert;Great Britain;Coronavirus (2019-nCoV)"
1,"When getting hired as a Black coach seemed “far-fetched,” as one coach said, Russell showed that it could be done — and that it could lead to championships.",Bill Russell and Red Auerbach came to an agreement.,Bill Russell Paved the Way for Black Coaches to Defy Doubters,2022-08-01T00:28:29+0000,article,Sports,News,"Coaches and Managers;Black People;Blacks;Basketball;Hiring and Promotion;Athletics and Sports;Discrimination;National Basketball Assn;Boston Celtics;Auerbach, Red;Russell, William Felton (1934- )"
2,"As officials braced for the death toll to climb, family members shared memories of those lost.","When the rain came, Diana Amburgey was in her double-wide trailer across from the gas station she managed in Hindman, Ky., packing for a Florida vacation. At 65, she had never learned to swim and was terrified of water, but her family had managed — “for the first time in forever,” her daughter said — to talk her into taking a family trip to the beach.",What We Know About the Victims in the Kentucky Flooding,2022-08-01T00:38:53+0000,article,U.S.,News,Floods;Kentucky;Deaths (Fatalities)
3,"As search and rescue teams worked to find more victims, residents began surveying the wreckage.","Search and rescue operations continued on Monday in eastern Kentucky, where devastating floods, the product of extreme rainfall, swept through rural communities last week.",What the Floods Left Behind: A Devastated Kentucky Views the Damage,2022-08-01T02:22:21+0000,article,U.S.,News,Floods;Kentucky;Deaths (Fatalities);vis-photo
4,The former Houston Texans quarterback who recently signed a $230 million guaranteed contract with the Cleveland Browns will not be fined. A lawyer for Watson’s accusers called the discipline “a slap in the face.”,"Deshaun Watson, the Cleveland Browns quarterback accused by more than two dozen women of sexual misconduct during massage treatments, was suspended Monday for six games without pay for multiple violations of the National Football League’s personal conduct policy, according to a 16-page report released by the disciplinary officer who considered his case.",Deshaun Watson Suspended Six N.F.L. Games for Sexual Misconduct,2022-08-01T04:01:09+0000,article,Sports,News,"Football;Suits and Litigation (Civil);Sexual Harassment;Cleveland Browns;Houston Texans;National Football League;Watson, Deshaun (1995- );Fines (Penalties)"
5,"The price has fallen sharply from its peak after one major producer, Russia, invaded another, Ukraine. But that hasn’t ended fears of a global hunger crisis.","The price of wheat has tumbled from its peak after Russia invaded Ukraine, but experts say one of the world’s most widely consumed foods remains in short supply and warn that a global hunger crisis still looms.","War, Climate Change, Energy Costs: How the Wheat Market Has Been Upended",2022-08-01T04:01:10+0000,article,Business Day,News,"Russian Invasion of Ukraine (2022);Prices (Fares, Fees and Rates);International Relations;Wheat;Food;Shortages;Fertilizer;Global Warming;Futures and Options Trading;AGRICULTURE DEPARTMENT;Russia;Ukraine"
6,"Russell showed as much love and respect to younger players as they showed to him. Some, like Charles Barkley, referred to him simply as “Mr. Russell.”","It was a day to celebrate Elgin Baylor, whom the Los Angeles Lakers had just honored with a statue outside their home arena. On that warm evening in April 2018, one of Baylor’s greatest antagonists showed up and sat prominently in the crowd.","Bill Russell’s Legacy, and Laugh, Touched Millions",2022-08-01T04:01:10+0000,article,Sports,News,"Russell, William Felton (1934- );Basketball;Boston Celtics;National Basketball Assn;Bryant, Kobe;Garnett, Kevin;West, Jerry"
7,"Russia has turned Europe’s largest nuclear power plant into a fortress, stymying Ukraine’s forces and unnerving locals who fear both shelling and a radiation leak.","NIKOPOL, Ukraine — Along most of the front line in Russia’s war in Ukraine, when one side lets loose with an artillery attack, the other shoots back.","Using Nuclear Reactors for Cover, Russians Lob Rockets at Ukrainians",2022-08-01T04:01:10+0000,article,World,News,Russian Invasion of Ukraine (2022);Nuclear Energy;Ukraine;Zaporizhzhia (Ukraine);Russia;Nikopol (Ukraine);Defense and Military Forces
8,"Quotation of the Day for Monday, August 1, 2022","“We live in a town of Wizard of Oz. People say one thing, and then behind a closed curtain they’re doing another.”",Quotation of the Day: Housing Costs Turn Into Crisis in Resort Town,2022-08-01T04:23:50+0000,article,Today’s Paper,News,
9,President Volodymyr Zelensky urges mass evacuations.,"Volodymyr Zelensky, the Ukrainian president, urged civilians in the eastern Donbas region to evacuate. The more people leave the Donetsk region now, he said, “the fewer people the Russian Army will have time to kill.”",Your Monday Briefing,2022-08-01T04:24:48+0000,article,Briefing,briefing,"United States;Ukraine;Taiwan;AFRICA;China;Donbas (Ukraine);Donetsk (Ukraine);Europe;Haiti;Renaissance (Album);Knowles, Beyonce;Pelosi, Nancy;Zelensky, Volodymyr;International Relations;Elections;War and Armed Conflicts;Deaths (Fatalities);Russian Invasion of Ukraine (2022);Immigration and Emigration"
10,"Rescue crews worked to restore power and water and to recover bodies after floods ravaged southeastern Kentucky. More than three dozen people were confirmed dead, and the toll was expected to climb.","Rescue crews worked to restore power and water and to recover bodies after floods ravaged southeastern Kentucky. More than three dozen people were confirmed dead, and the toll was expected to climb.",Kentucky Floods Leave Behind Devastation,2022-08-01T04:44:55+0000,multimedia,U.S.,Video,Floods;Kentucky;Deaths (Fatalities)
11,"No corrections appeared in print on Monday, August 1, 2022.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.","No Corrections: August 1, 2022",2022-08-01T04:52:21+0000,article,Corrections,News,
12,ABC airs footage from the 2022 CMA Fest. And a period drama on Starz wraps up its first season.,"With network, cable and streaming, the modern television landscape is a vast one. Here are some of the shows, specials and movies coming to TV this week, Aug. 1-7. Details and times are subject to change.",What’s on TV This Week: CMA Fest and ‘Becoming Elizabeth’,2022-08-01T05:00:06+0000,article,Arts,News,Television;Movies
13,The country is being cut down to size.,LONDON — The Boris Johnson era is over. But the turmoil has only just begun.,The Fantasy of Brexit Britain Is Over,2022-08-01T05:00:06+0000,article,Opinion,Op-Ed,"Great Britain;Great Britain Withdrawal from EU (Brexit);Conservative Party (Great Britain);Johnson, Boris;Sunak, Rishi (1980- );Truss, Elizabeth (1975- );Politics and Government"
14,"The Special Victims Division is under federal investigation. Women who were attacked said officers often didn’t know how to investigate, or didn’t bother.","Good morning. It’s Monday. More than 2,000 speed cams go into round-the-clock operation today. But first, we’ll take a closer look at the Police Department’s troubled Special Victims Division — and why rape survivors asked the Justice Department to investigate.",How the N.Y.P.D. Failed Victims of Sexual Attacks,2022-08-01T05:32:44+0000,article,New York,briefing,New York City;Women and Girls;Sex Crimes;Police;Cameras;Traffic Accidents and Safety;Justice Department;Police Department (NYC)
15,Feeling stuck on today’s puzzle? We can help.,"MONDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",Spelling Bee Forum,2022-08-01T07:00:03+0000,article,Crosswords & Games,News,Spelling Bee (Game)
16,"Mark Finchem, a full-throated MAGA warrior, is a leading contender to be Arizona’s next secretary of state. He has said he won’t concede if he loses.","PHOENIX — This spring, Mark Finchem traveled to Mar-a-Lago for the premiere of a documentary advancing the specious notion that the 2020 presidential election had been stolen from President Donald J. Trump by an army of leftists stuffing drop boxes with absentee ballots. As a state representative and candidate for secretary of state in Arizona, Mr. Finchem was a minnow among the assembled MAGA stars, the likes of Rudolph W. Giuliani and Representative Marjorie Taylor Greene of Georgia.",Trump-Backed Conspiracy Theorist Vies to Take Over Arizona Elections,2022-08-01T07:00:13+0000,article,U.S.,News,"Finchem, Mark W;Trump, Donald J;Presidential Election of 2020;Elections;Absentee Voting;Right-Wing Extremism and Alt-Right;Storming of the US Capitol (Jan, 2021);Conspiracy Theories;Republican Party;Arizona;Midterm Elections (2022)"
