,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"In 2019, the Trump Organization showed improvement over the previous year. But the company’s minimum reported revenues still fell short of the president’s first year in office, his new financial disclosure shows.","Before the coronavirus ripped through the country, upending President Trump’s family business and the broader hospitality industry, the company last year showed modest gains, according to Mr. Trump’s annual financial disclosure report released late Friday.","A Better Year for Trump’s Family Business (Last Year, That Is)",2020-08-01T00:38:18+0000,article,Business Day,News,"Trump Organization;Trump, Donald J;Coronavirus (2019-nCoV);Hotels and Travel Lodgings;United States Politics and Government;Shutdowns (Institutional);Real Estate (Commercial);Company Reports"
1,"The release came more than a week after a judge ruled that the girl, who violated the terms of her probation by skipping coursework, should remain at the juvenile facility.",The Michigan Court of Appeals on Friday freed a 15-year-old suburban Detroit girl whose detention at a juvenile facility drew widespread criticism after a county judge ordered that she be held for failing to complete her online schoolwork.,Court Frees Michigan Teen Who Was Held for Skipping Online Schoolwork,2020-08-01T00:41:19+0000,article,U.S.,News,Juvenile Delinquency;Decisions and Verdicts;Children and Childhood;ProPublica;Michigan;Oakland County (Mich)
2,"If you’re an officer of the law, dress like one. Leave the soldiering to soldiers.","Masked men, clad indistinguishably from soldiers, yanking civilians off the street in the dead of night and throwing them into unmarked cars is the modus operandi of totalitarian regimes — or the stuff of dystopian fiction.",Federal Agents Don’t Need Army Fatigues,2020-08-01T01:00:58+0000,article,Opinion,Editorial,"Demonstrations, Protests and Riots;Camouflage;Uniforms;Norton, Eleanor Holmes;Homeland Security Department;Ocasio-Cortez, Alexandria;Federal-State Relations (US)"
3,"An American researcher created the polio vaccine, but a Toronto lab and a pioneering female scientist made its mass production possible.","Canadians don’t have to go back to 1918 and the start of the Spanish flu pandemic to find an analogy to today. For decades, waves of polio outbreaks gripped the country with fear, death and uncertainty, as recently as the 1950s.",Canada’s Key Role in Creating a Once Awaited Vaccine,2020-08-01T01:09:10+0000,article,World,News,Vaccination and Immunization;Canada
4,"Quotation of the Day for Saturday, August 1, 2020.","“They are running short of confidence to face the people, to face the people’s choice, to face the people’s demands. It’s fear.”",Quotation of the Day: China Wields Its Security Law to Crush Hong Kong Dissent,2020-08-01T03:42:44+0000,article,Today’s Paper,Quote,
5,"Corrections that appeared in print on Saturday, Aug. 1, 2020.","An article on Page 10 about the Netflix documentary series “Last Chance U” refers imprecisely to coach John Beam. He identifies as multiracial, not white.","Corrections: Aug. 1, 2020",2020-08-01T03:55:56+0000,article,Corrections,Correction,
6,"The soccer star and activist leads a discussion on HBO, and an Amazon docuseries looks back on the murder of a D.E.A. agent.","SEEING AMERICA WITH MEGAN RAPINOE 10 p.m. on HBO. Megan Rapinoe may be one of the biggest stars in sports following the United States women’s national soccer team’s 2019 World Cup victory. But she’s also an outspoken activist for equal pay, racial justice and L.G.B.T.Q. issues. On this special, Rapinoe engages in a discussion with Representative Alexandria Ocasio-Cortez, the comedian Hasan Minhaj and the New York Times journalist Nikole Hannah-Jones for a wide-ranging conversation about the upcoming election and societal issues the country is currently facing.",What’s on TV Saturday: ‘Seeing America With Megan Rapinoe’ and ‘The Last Narc’,2020-08-01T05:00:07+0000,article,Arts,News,Television;Movies
7,"As more schools abandon plans for in-person classes, one that opened in Indiana this week had to quarantine students within hours.",One of the first school districts in the country to reopen its doors during the coronavirus pandemic did not even make it a day before being forced to grapple with the issue facing every system actively trying to get students into classrooms: What happens when someone comes to school infected?,"A School Reopens, and the Coronavirus Creeps In",2020-08-01T07:00:09+0000,article,U.S.,News,Education (K-12);Coronavirus Reopenings;Coronavirus (2019-nCoV);Teachers and School Employees;New York City;California;Greenfield (Ind)
8,"The N.H.L. chose the small-market, hockey-mad city as one of two “hub cities” — along with Toronto — to host its playoffs.","EDMONTON, Alberta — It is said that hockey is the heartbeat of Alberta’s capital city. If that’s so then the 2020 N.H.L. playoffs are like a defibrillator that has shocked the city’s rhythm back to life.","Edmonton, ‘City of Champions,’ Readies for a Hockey Marathon",2020-08-01T07:00:11+0000,article,Sports,News,"Hockey, Ice;Coronavirus Reopenings;Playoff Games;Coronavirus (2019-nCoV);Edmonton Oilers;National Hockey League;Draisaitl, Leon (1995- );McDavid, Connor (1997- );Lowe, Kevin"
9,"The young British actress stars in “Hanna,” the action drama on Amazon.",Name: Yasmin Monet Prince,"Yasmin Monet Prince, a New Action Heroine",2020-08-01T09:00:07+0000,article,Style,News,"ACTORS AND ACTRESSES;Hanna (TV Program);Prince, Yasmin Monet"
10,"President Trump’s more sober messaging on the coronavirus crisis didn’t last long. For Joe Biden, the search for a running mate may last a little longer.",Welcome to our weekly analysis of the state of the 2020 campaign.,"Trump’s Approval Rating, Biden V.P. Search: The Latest in the 2020 Race",2020-08-01T09:00:08+0000,article,U.S.,News,"Presidential Election of 2020;Coronavirus (2019-nCoV);Biden, Joseph R Jr;Trump, Donald J;Obama, Barack;Cain, Herman;Rice, Susan E;Bass, Karen Ruth"
