,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"Body-camera footage of the arrest of Karen Garner has drawn widespread outrage, as has another video that showed officers laughing at the footage.","Three members of a Colorado police department have resigned after they arrested and booked a 73-year-old woman with dementia who was thrown to the ground and handcuffed after she was suspected of shoplifting, officials said on Friday.",Three Colorado Officers Resign After Arrest of Woman With Dementia,2021-05-01T00:05:13+0000,article,U.S.,News,"Police Brutality, Misconduct and Shootings;Suits and Litigation (Civil);Loveland (Colo);Dementia;Garner, Karen (1948- );Hopp, Austin;Jalali, Daria;Metzler, Philip (1967- );Hill, Antolina;Blackett, Tyler"
1,"Senator Joe Manchin III, Democrat of West Virginia, told local news reporters that he believed making Washington, D.C., a state would require a constitutional amendment.","Senator Joe Manchin III, Democrat of West Virginia, told local news reporters on Friday that he would not support a bill to grant statehood to Washington, D.C., saying he believed a constitutional amendment was needed instead of legislation.",Manchin says he won’t support a D.C. statehood bill.,2021-05-01T00:24:56+0000,article,U.S.,News,"Manchin, Joe III;Statehood Movement for Washington, DC;United States Politics and Government;Senate"
2,"The museum, citing safety concerns, closed its doors to the protesters who say MoMA caters too much to the interests of its wealthy donors.",The Museum of Modern Art blocked protesters from entering the museum Friday afternoon at the conclusion of a march designed to focus attention on what the demonstrators say is the undue influence of wealthy patrons on the cultural institution’s values and programming.,MoMA Blocks Protesters Who Planned to Demonstrate Inside,2021-05-01T00:31:50+0000,article,Arts,News,"Museums;Demonstrations, Protests and Riots;Art;Museum of Modern Art;Whitney Museum of American Art;Kanders, Warren Beatty;Lowry, Glenn D"
3,"The businessman, who made a fortune in home-building and insurance, spent lavishly to try to make the city a cultural capital.","Eli Broad, a businessman and philanthropist whose vast fortune, extensive art collection and zeal for civic improvement helped reshape the cultural landscape of Los Angeles, died on Friday at Cedars-Sinai Medical Center in Los Angeles. He was 87.","Eli Broad, Who Helped Reshape Los Angeles, Dies at 87",2021-05-01T00:44:01+0000,article,U.S.,Obituary (Obit),"Museums;Art;Broad, Eli;Los Angeles (Calif);Deaths (Obituaries);Philanthropy;Broad, Eli and Edythe, Foundation;Broad Museum (Los Angeles, Calif);Education (K-12)"
4,"Corrections that appeared in print on Saturday, May 1, 2021.","An article on Friday about the expansion of a law in Germany aimed at reducing carbon emissions misstated the title of Peter Altmaier. He is the economy minister, not the finance minister.","Corrections: May 1, 2021",2021-05-01T01:21:48+0000,article,Corrections,Correction,
5,"Quotation of the Day for Saturday, May 1, 2021.",“It’s been one blow after another. It’s something we don’t know how to pick ourselves up from.”,Quotation of the Day: Soul-Searching in Israel After Deadly Stampede at Religious Site,2021-05-01T01:23:37+0000,article,Today’s Paper,Quote,
6,"All’s fair in love, war and Ryan McCarty’s Saturday puzzle.","SATURDAY PUZZLE — Happy May, everybody! We’re in the lusty height of spring and Ryan McCarty’s grid today has a lot of romantic touches, some verging on bawdy. We are also back on the short stacks, which is fine — a staircase of seven across entries making a sequence that might fit in at a poetry slam. I think the cluing today is reasonably kind, with a few exceptions, although I think I got lucky with a couple of good guesses in the long down entries, which aren’t easy at all.",Screwballs,2021-05-01T02:00:09+0000,article,Crosswords & Games,News,"Crossword Puzzles;Ties (Apparel);Fortnum & Mason PLC;McCarty, Ryan (Crossword Constructor)"
7,A wealth of stores and studios in Connecticut and upstate New York offer lovely handmade wares that you’ll have forever.,"When I heard that Creel and Gow, the beloved cabinet of antique and handmade curiosities on Manhattan’s Upper East Side, just opened an outpost in Millbrook, N.Y., in order to have more space for its handcrafted furniture and textiles made by artisans in Morocco, where its owners, Jamie Creel and Marco Scarani, live for part of the year, it occurred to me that the area around Millbrook and in nearby Litchfield County, Conn., has become a mecca for craft. Not the chunky or cheeky minimalist Brooklynite-gone-upstate kind of craft, but the kind made by highly skilled longstanding practitioners, whose wares look most at home when paired with fine old patinated things. These sorts of history-friendly creations are the domain of people like Creel and Scarani — shopkeepers (and decorators and antiques dealers) who make keeping a shop seem like an art.",Looking for a Weekend Excursion? Try Craft Shop Hopping,2021-05-01T02:19:53+0000,article,T Magazine,News,Ceramics and Pottery;Art;Quarantine (Life and Culture);Handicrafts;Small Business;Connecticut;New York State;Content Type: Service
8,"The trainer Bob Baffert collected his seventh Derby victory while the favorite, Essential Quality, faltered and finished fourth.","LOUISVILLE, Ky. — On another first Saturday in May, the beauty of America’s oldest sport battled neck and neck down the stretch with its unseemliness as a colt named Medina Spirit elegantly held off a determined challenge from Mandaloun.",Medina Spirit Wins the 147th Kentucky Derby,2021-05-01T04:01:10+0000,article,Sports,News,"Horse Racing;Kentucky Derby;Triple Crown (Horse Racing);Jockeys, Drivers and Trainers;Churchill Downs Inc;Doping (Sports)"
9,"When Super Bowl-winning quarterbacks like Brady, Rodgers and Russell Wilson grow frustrated with their teams, the nature of N.F.L. contracts makes it hard to scramble away. Brady ultimately succeeded by running out the clock.","The final contract that Tom Brady signed in New England, in August 2019, contained a clever provision that prevented the Patriots from placing a franchise or transition tag on him, ensuring that, as he desired, Brady would become a free agent after the season.",Tom Brady Charted a New Path. Aaron Rodgers Struggles to Do the Same.,2021-05-01T04:01:10+0000,article,Sports,News,"Football;Free Agents (Sports);Draft and Recruitment (Sports);Green Bay Packers;Brady, Tom;Rodgers, Aaron;National Football League;Wilson, Russell (1988- )"
