,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes.,To the Editor:,"From Google, on Its Advertising Tech Business",2021-07-01T00:05:28+0000,article,Opinion,Letter,Google Inc;Online Advertising;Advertising and Marketing
1,"Injuries to stars have dominated and reshaped the playoffs, raising questions about the legacy of the team that wins it all.","The Milwaukee Bucks were in the midst of a comeback on Tuesday against the Atlanta Hawks, who were without their best player, Trae Young. With the Bucks up by two games to one in the best-of-seven Eastern Conference finals series, a win would have put the franchise on the brink of making its first N.B.A. finals since 1974.",The N.B.A. Champion May Be the Last Team Standing,2021-07-01T00:06:11+0000,article,Sports,News,"Sports Injuries;Basketball;Playoff Games;NBA Championship;Atlanta Hawks;Milwaukee Bucks;Antetokounmpo, Giannis (1994- );Harden, James;Irving, Kyrie;Brooklyn Nets;Utah Jazz;Paul, Chris (1985- );Boston Celtics;Los Angeles Clippers;Leonard, Kawhi"
2,Workers were more likely to get a shot when their employers encouraged them and provided paid time off.,"A new poll has found that Americans are sharply divided by household over vaccination status, with 77 percent of vaccinated adults saying everyone in their household is vaccinated and a similar share (75 percent) of unvaccinated adults saying no one they live with is vaccinated.","A poll reveals another U.S. vaccine divide, this one by household.",2021-07-01T00:09:09+0000,article,U.S.,News,Vaccination and Immunization;Paid Time Off;Polls and Public Opinion;Kaiser Family Foundation;United States
3,"It would fine companies like Facebook, YouTube and Twitter if they permanently bar candidates for office in the state.",A judge on Wednesday blocked a Florida law that would be the first in the nation to prohibit social media companies from barring political candidates.,Judge Blocks Florida Law Regulating Social Media Companies,2021-07-01T01:35:32+0000,article,Technology,News,"Social Media;Censorship;Computers and the Internet;Decisions and Verdicts;Law and Legislation;Facebook Inc;Twitter;DeSantis, Ron;Florida"
4,"Two former students of Mr. Franco’s acting school had accused him of subjecting them to sexually exploitative auditions and film shoots. In the proposed settlement, he did not admit wrongdoing.","The actor James Franco has agreed to pay more than $2.2 million to settle a pair of lawsuits, including one from two former students of his acting school who said he had subjected them to sexually exploitative auditions and film shoots.",James Franco Agrees to Pay $2.2 Million to Settle Sexual Misconduct and Fraud Lawsuits,2021-07-01T01:43:05+0000,article,U.S.,News,"Suits and Litigation (Civil);Compensation for Damages (Law);Women and Girls;Sex Crimes;Frauds and Swindling;Actors and Actresses;Franco, James;Gaal, Toni;Tither-Kaplan, Sarah"
5,Joe Deeney makes a deal out of things.,"THURSDAY PUZZLE — Without giving away spoilers, there is a technical issue that may be preventing some solvers who are playing in the iOS and Android apps from seeing the puzzle correctly. ",Curling Locales,2021-07-01T02:00:03+0000,article,Crosswords & Games,News,Crossword Puzzles
6,"Known as ‘Da Bull,’ he caught waves in Hawaii, California, Australia and Mexico. One expert said he “could be the Babe Ruth of surfing.”","Greg Noll, a fearless surfer and a superstar in his sport who in the 1960s tackled stunningly big waves in Hawaii, died on Monday in Crescent City, Calif., about 20 miles south of Oregon. He was 84.","Greg Noll, Surfing Superstar Who Tackled the Big Waves, Dies at 84",2021-07-01T02:06:08+0000,article,Sports,Obituary (Obit),"Noll, Greg;Deaths (Obituaries);Surfing"
7,The improbable rise of a superpower that was born in the rubble of dynasty and fears it may yet meet the same fate.,"In the summer of 1921, there was nothing inevitable about the Communist Party of China, even its survival. Especially its survival.",Pictures From a Revolution: China’s Communists Mark a Centennial,2021-07-01T02:08:18+0000,article,World,News,Communist Party of China;China;Mao Zedong;Deng Xiaoping;Xi Jinping;Politics and Government;Hong Kong Protests (2019)
8,"Corrections that appeared in print on Thursday, July 1, 2021.","An article on Wednesday about the decision by Representative James Clyburn of South Carolina to endorse Shontel Brown for Congress misstated which House Democratic leaders had agreed to vacate their posts after this Congress. Although Speaker Nancy Pelosi initially considered a deal with limits on all three of the top Democratic leaders, the deal ultimately applied only to her, not all three.","Corrections: July 1, 2021",2021-07-01T02:23:39+0000,article,Corrections,Correction,
9,A global virus surge.,"A year and a half since it began, the pandemic is on the rise again in much of the world, driven largely by the highly contagious Delta variant and other new types. Scientists believe that variant, first identified in India, may be twice as transmissible as the original coronavirus.",Your Thursday Briefing,2021-07-01T03:21:09+0000,article,Briefing,briefing,
10,"This will be the first trip to the finals for the Suns’ veteran leader, Chris Paul, who scored 41 points in the series-clinching Game 6 victory over the Los Angeles Clippers.","The Phoenix Suns, after missing the playoffs for 10 consecutive seasons, are headed to the N.B.A. finals for the first time since 1993.",Phoenix Suns Headed to First N.B.A. Finals in Almost 30 Years,2021-07-01T03:48:28+0000,article,Sports,News,"Sports Injuries;Playoff Games;NBA Championship;Los Angeles Clippers;Phoenix Suns;Booker, Devin (1996- );Ayton, Deandre (1998- );Paul, Chris (1985- )"
11,The Lightning’s Blake Coleman dived to tip in the winning goal in the final moments of the second period to help Tampa Bay triumph despite being heavily outshot. His move looked awfully familiar.,"TAMPA, Fla. — It was a cute idea, really it was. This notion that as the final seconds ticked off and play lingered in the neutral zone, the middle period of Game 2 of the Stanley Cup finals would end, just end, with the score still tied but the Montreal Canadiens in control. A puck, though — it can do some wondrous things when manipulated by marvels, and Lightning winger Barclay Goodrow poked it beyond one Montreal defenseman, then maneuvered it past another to whip a backhand pass across the slot, and then there was no time left until there was just enough. ","Every Shot, and Second, Counts for Tampa Bay",2021-07-01T03:54:48+0000,article,Sports,News,"Stanley Cup;Hockey, Ice;Vasilevskiy, Andrei (1994- );Tampa Bay Lightning;Montreal Canadiens;National Hockey League;Coleman, Blake (1991- )"
12,Thursday brings a seismic shift for college sports: eased N.C.A.A. policies and new laws to let players make money off their fame.,"MIAMI — D’Eriq King, the University of Miami’s star quarterback, has spent the off-season anticipating the Hurricanes’ September opener against Alabama. First, though, he is opening for business on Thursday, when college athletes can start to make money off their fame.",College Athletes Cash In as Generations of Rules Fade Under Pressure,2021-07-01T04:01:08+0000,article,Sports,News,Student Athlete Compensation;College Athletics;National Collegiate Athletic Assn;Colleges and Universities
13,"Under pressure to keep costs down, many condo boards around the country have little money set aside for big repairs like the ones needed in Surfside, Fla. Some are looking to force a change.","For years before the partial collapse of the Champlain Towers South complex near Miami, the condo board wrestled with how to come up with the $15 million needed to fix the building’s dilapidated roof, a poorly designed pool deck and crumbling support columns.",Infighting and Poor Planning Leave Condo Sites in Disrepair,2021-07-01T07:00:08+0000,article,U.S.,News,"Surfside, Fla, Building Collapse (2021);Condominiums;Home Repairs and Improvements"
14,Business and culture have conspired to kill off a passé persona.,"On Monday, when the fashion world will gather in Paris for the first live couture shows since the pandemic began and assorted editors will take their socially distanced seats en masse, the front row — that power chain of often instantly recognizable individuals who set the tone for trends and style setters for the world — will look very different.",The Imperial Editor Goes the Way of the Dodo,2021-07-01T07:00:08+0000,article,Fashion & Style,News,"Fashion and Apparel;Magazines;Appointments and Executive Changes;Conde Nast Publications Inc;Harper's Bazaar;Hearst Corp;Vogue;Peoples Wagner, Lindsay;Jones, Radhika;Sharma, Versha;Wintour, Anna;your-feed-fashion"
15,"Doping out the identity of an obsessive, enigmatic Instagram poster has become a favored pastime of the scrolling classes.","It is the parlor game of the pandemic. Among a certain segment of the scrolling classes, art and literary division, firing up their tablets and smartphones each morning has taken on aspects of a whodunit. Rifling through Instagram feeds, they register with half yawns the sponsored posts and thirst traps, the Throwback Thursday selfies and banal memes of cats. All the while they are waiting to happen upon the latest clue from a particular account.",Who Is rg_bunny1: An Instagram Whodunit,2021-07-01T07:00:09+0000,article,Style,News,Art;Photography;Social Media;Instagram Inc
16,"Quotation of the Day for Thursday, July 1, 2021.",“Just because the roof doesn’t send a bill every month doesn’t mean that it doesn’t need to be paid.”,"Quotation of the Day: As Condo Boards Squabble, Disaster May Loom",2021-07-01T07:00:44+0000,article,Today’s Paper,Quote,
17,Prime Minister Naftali Bennett’s decision about an unauthorized settlement has provided an early idea of how he hopes to manage his unlikely coalition.,"JERUSALEM — Not a lot binds the new Israeli government. It’s an unwieldy and incoherent coalition of right-wingers, leftists, centrists and Islamists that many fear won’t survive more than a few months, let alone years.","Israel’s New Leaders Tilt Right With Settler Deal, Hinting at Approach",2021-07-01T08:42:07+0000,article,World,News Analysis,"Israel;Israeli Settlements;Palestinians;Bennett, Naftali;Lapid, Yair;Politics and Government;West Bank"
18,"At newly reopened playhouses, once-legendary and younger directors take very different approaches to their mammoth productions.","BERLIN — Theatergoers know what to expect from a Frank Castorf production. The director, who helped shape the last 30 years of German theater, favors a deconstructive approach to the classics, reams of dialogue barked like manifestoes and manic performances over a marathon running time.",Generational Divides Emerge Onstage in Germany,2021-07-01T08:42:55+0000,article,Theater,News,"Theater;Berliner Ensemble;Actors and Actresses;Castorf, Frank;Mondtag, Ersan;Berlin (Germany)"
19,"Mr. Biden and his wife, Jill Biden, are scheduled to meet with families of the victims of the condo collapse in Surfside, Fla.",President Biden pledged ongoing help from the federal government as he arrived  in Florida Thursday to resume his role as consoler in chief following the collapse of the Champlain Towers South condo building which has left at least 18 people dead and as many as 145 unaccounted for.,President Biden meets with rescue workers during his visit to Florida.,2021-07-01T08:59:18+0000,article,U.S.,News,"Surfside, Fla, Building Collapse (2021);Biden, Joseph R Jr;Surfside (Fla)"
20,Test your knowledge of this week’s health news.,Test your knowledge of this week’s health news.,"Weekly Health Quiz: Washing Fruit, a New Cancer Treatment and the Delta Variant",2021-07-01T09:00:01+0000,multimedia,Well,Interactive Feature,Coronavirus (2019-nCoV);Prostate Gland;Fruit;Vaccination and Immunization;Medicine and Health
21,"“I feel such connection to the human who made it, which delights and moves me. If you can write a joke that is still funny in 100 years, you are great.”","“I feel such connection to the human who made it, which delights and moves me,” says the novelist, whose new book is “Wayward.” “If you can write a joke that is still funny in 100 years, you are great.”",Dana Spiotta Loves Coming Across Jokes in Really Old Books,2021-07-01T09:00:02+0000,article,Books,News,"Books and Literature;Writing and Writers;Spiotta, Dana;Content Type: Personal Profile"
22,"Stuck in a studio during the pandemic, a couple tested the soft Manhattan rental market, in search of more space and a few conveniences. Which place would you choose?","Stuck in a studio during the pandemic, a couple tested the soft Manhattan rental market, in search of more space and a few conveniences. Which place would you choose?","Rents Were Down, but Could They Afford the West Village? These Were Their Options.",2021-07-01T09:00:02+0000,multimedia,Real Estate,Interactive Feature,"Real Estate and Housing (Residential);Renting and Leasing (Real Estate);Quarantine (Life and Culture);Content Type: Personal Profile;Upper West Side (Manhattan, NY);West Village (Manhattan, NY);Chelsea (Manhattan, NY)"
23,"Here’s a look at novels selling like gangbusters in the second week of July, all the way back to 1971.","LOOK BACK IN LANGUOR July is a month for retro pleasures — kites, badminton, snow cones and water balloons, to name a few. So why do so many of us reach for books that are hot off the presses? I decided to pay a visit to best-seller lists of yore to find out what shiny penny novels were flying off the shelves 10, 20, 30, 40 and 50 years ago this week.",Books Are Forever. Best Sellers Are Fleeting.,2021-07-01T09:00:03+0000,article,Books,List,"Books and Literature;Smokin' Seventeen (Book);Evanovich, Janet;Cane River (Book);Tademy, Lalita;Tan, Amy;Goodbye, Janette (Book);Robbins, Harold;The Kitchen God's Wife (Book);On Instructions of My Government (Book);Salinger, Pierre"
24,"The ghazal is an M.C.’s form: repeating words, a rhyme scheme and self-referential. The good ones become like a prayer.","The ghazal is an M.C.’s form: repeating words, a rhyme scheme, the self-referential last line that signals the end of the bars. When done right, every single line is a prayer. I learned the form from Shahid, when I was in prison and he was already living only in verse. I’d long been telling men to call me by the name of a man I’d never met, already near begging that “G-d, limit these punishments, there’s still Judgment Day/I’m a mere sinner, I’m no infidel tonight.” Selected by Reginald Dwayne Betts",Poem: Tonight,2021-07-01T09:00:04+0000,article,Magazine,News,Poetry and Poets;Prisons and Prisoners;Prayers and Prayer Books
25,The president wants to pour billions more into a service that makes sense only in a few areas.,"Ah, the romantic suspense of train travel: Cary Grant and Eva Marie Saint canoodling in “North by Northwest.” Farley Granger and Robert Walker conspiring in “Strangers on a Train.” While long-haul railroads have a beloved place in our history, Americans almost entirely abandoned them more than a half century ago for the greater convenience of cars and the speed of planes.",Why ‘Amtrak Joe’ Should Pull Back on Train Funding,2021-07-01T09:00:05+0000,article,Opinion,Op-Ed,"American Jobs Plan (2021);Railroads;Infrastructure (Public Works);Biden, Joseph R Jr"
26,A mother-in-law takes a jab at her son-in-law’s drinking preferences.,"Johnmark writes: I once sipped my beverage at dinner with a straw, and my mother-in-law commented, “I’ve always thought using a straw was unmanly.” I had never heard of this. I enjoy a straw. I seek the judge’s ruling whether there are superior ways to enjoy a beverage.",Judge John Hodgman on the Gendering of Sipping Straws,2021-07-01T09:00:05+0000,article,Magazine,News,Comedy and Humor;Alcoholic Beverages
27,The country’s Communist Party rule is stronger than ever.,"On July 1, the Chinese Communist Party celebrates its centenary. Those in the West who are banking on its demise are sorely mistaken. Because while the party may have committed some significant missteps throughout its rule, it is still a formidable force that will remain a threat to the United States and Western allies for years to come.",The Chinese Communist Party Is 100. It’s Not Going Anywhere.,2021-07-01T09:00:06+0000,article,Opinion,Op-Ed,Communist Party of China;China;Hong Kong;Xi Jinping
28,"Ron Klain discusses the infrastructure bill, the White House pandemic response and why he’ll “let Republicans deal with Donald Trump.”","As the White House chief of staff, Ron Klain helps determine how the president spends scarce resources like time and political capital.",Biden’s Chief of Staff Is Worried About ‘Everything.’ Except the Midterms.,2021-07-01T09:00:07+0000,article,Opinion,Op-Ed,"audio-neutral-informative;United States Politics and Government;Democratic Party;Senate;House of Representatives;Biden, Joseph R Jr;Republican Party;Law and Legislation;Coronavirus (2019-nCoV);Klain, Ronald A"
