,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,"A week after the bodies of two transgender women were found in a badly burned car in Puerto Rico, the police said Thursday that they had arrested two men in connection with the killings and had turned them over to the F.B.I.",Two Arrested in Killings of Transgender Women in Puerto Rico,2020-05-01T00:05:01+0000,article,U.S.,News,"Murders, Attempted Murders and Homicides;Hate Crimes;Federal Bureau of Investigation;Puerto Rico;Pelaez, Layla (d 2020);Velazquez, Serena Angelique"
1,"Fiona Apple blows our minds, again.","“Fetch the Bolt Cutters” is Fiona Apple’s master class in channeling frustration and anger into what can only be called wisdom. Also, we hear from listeners all over the planet, sharing how they are taking care of the people in their lives.",Fiona Ex Machina,2020-05-01T00:13:29+0000,article,Podcasts,News,"Morris, Wesley (1975- );Wortham, Jenna;APPLE, FIONA;Fetch the Bolt Cutters (Album);Knowles, Beyonce"
2,Oprah Winfrey will give a virtual commencement address on Facebook for college and high school seniors across the United States.,"They will not get to share in the memories synonymous with college graduation — the collective tossing of caps, the hugs from friends and the walk across the stage to get their diplomas.",No Graduation Ceremony? You Get Oprah!,2020-05-01T00:55:57+0000,article,U.S.,News,"Commencement Speeches;Colleges and Universities;Computers and the Internet;Coronavirus (2019-nCoV);Facebook Inc;iHeartMedia Inc;Winfrey, Oprah"
3,Public beaches have become a flashpoint as the U.S. begins to emerge from stay-at-home restrictions.,"As Americans wrestle with how to emerge from weeks of social-distancing restrictions, tensions are building between those who remain desperate to suppress the coronavirus and those who are desperate to get out of the house. And the nation’s beaches have become a flash point.",Coronavirus Briefing: What Happened Today,2020-05-01T01:18:53+0000,article,U.S.,briefing,Coronavirus (2019-nCoV)
4,Trenton Charlson raises the curtain on our solving weekend.,"FRIDAY PUZZLE — This puzzle by Trenton Charlson is another Friday dazzler worth showing up for. Not only does it have a generous sprinkling of high-score Scrabble letters (just take a gander at the four Z’s in the northeast!), the entries are flashy and fun. The topics covered in the puzzle are plentiful, giving even a Friday-averse solver a chance at conquering it. And overall, the tone of the puzzle is cheery and optimistic, the perfect antidote to what we are all going through right now during the pandemic.",Closing Number of a Musical,2020-05-01T02:00:05+0000,article,Crosswords & Games,News,"Crossword Puzzles;Charlson, Trenton"
5,"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.","The Centers for Disease Control and Prevention on Thursday announced a national initiative to speed research into how the coronavirus was spreading around the country, bringing together at least 75 public health, academic and commercial institutions studying its genome.",Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,2020-05-01T02:30:33+0000,article,Science,News,"Genetics and Heredity;Coronavirus (2019-nCoV);Medicine and Health;Research;Epidemics;Vaccination and Immunization;Centers for Disease Control and Prevention;Laboratories and Scientific Equipment;Redfield, Robert R;United States"
6,"Corrections that appeared in print on Friday, May 1, 2020.","An article on Saturday about some states that are allowing businesses to reopen misidentified the location of a drive-by protest in Atlanta. It was outside the Governor’s Mansion, not the governor’s office.","Corrections: May 1, 2020",2020-05-01T02:54:53+0000,article,Corrections,Correction,
7,"Quotation of the Day for Friday, May 1, 2020.",“The garment factory helped me and my family to get out of poverty. But the coronavirus has pushed me back in.”,Quotation of the Day: Billions Slide Down Ladder That Took Decades to Climb,2020-05-01T02:55:44+0000,article,Today’s Paper,Quote,
8,"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.","It was a week before our 25th anniversary, and I wanted out.","Making Space in Marriage, Even as the Walls Close In",2020-05-01T04:00:07+0000,article,Style,News,Love (Emotion);Marriages;Burning Man Festival
9,The latest on stock market and business news during the coronavirus outbreak.,This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here.,U.S. Stocks End the Week Lower After Tech Earnings,2020-05-01T04:01:12+0000,article,Business Day,News,United States Economy;Coronavirus (2019-nCoV);Stocks and Bonds;Standard & Poor's 500-Stock Index
10,"The W.H.O. extends the global health emergency as deaths near 240,000, and our New Delhi correspondent paints a portrait of a fearful city.","Some biotech companies are cashing in on the race to produce coronavirus antibody tests, taking blood samples from people who have been infected and selling them at exorbitant prices.",Companies Sell the Blood of Recovered Coronavirus Patients for Exorbitant Prices,2020-05-01T04:01:49+0000,article,World,News,Coronavirus (2019-nCoV);AIRLINES AND AIRPLANES;Politics and Government;China
11,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),"Coronavirus, E.C.B., Chinese Lab: Your Friday Briefing",2020-05-01T04:08:31+0000,article,Briefing,briefing,
12,"Wyatt Morgan Cooper, who is named after the newscaster’s late father, was delivered by a surrogate.","Anderson Cooper signed off from a weekly CNN coronavirus town hall Thursday night by sharing some uplifting news, telling viewers that earlier in the week, he had become a father.",Anderson Cooper Announces Birth of His First Child,2020-05-01T04:18:58+0000,article,U.S.,News,"Cooper, Anderson;CNN;Television;Surrogate Motherhood;Anderson Cooper 360 (TV Program);60 MINUTES (TV PROGRAM)"
13,"If college athletes are permitted to cash in on their fame, how can the N.C.A.A. forbid guidance from people who have long worked in the shadows?","The world of college sports was rocked nearly 30 years ago when a Las Vegas newspaper published a photograph of three U.N.L.V. basketball players casually drinking beer in a hot tub with Richard Perry, a man nicknamed the Fixer who was known for rigging horse races and basketball games.",Will New N.C.A.A. Rules Really Keep Agents and Boosters at Bay?,2020-05-01T04:30:08+0000,article,Sports,News,"Football (College);Basketball (College);College Athletics;University of Nevada, Las Vegas;AMATEUR ATHLETICS"
14,"At least three boats carrying Rohingya refugees have been adrift for more than two months. As of this week, rights groups that had been tracking the boats lost sight of them.","BANGKOK — Somewhere in turquoise waters, perhaps where the Bay of Bengal meets the Andaman Sea, wooden boats filled with Rohingya refugees are listing, adrift now for more than 10 weeks.",Hundreds of Rohingya Refugees Stuck at Sea With ‘Zero Hope’,2020-05-01T04:39:21+0000,article,World,News,Rohingya (Ethnic Group);Refugees and Displaced Persons;Bangladesh;Malaysia;Myanmar;Human Trafficking;Bay of Bengal;Coronavirus (2019-nCoV)
15,The governor’s moves were in response to the Republican-led Legislature’s refusal to extend the original emergency declaration.,"Gov. Gretchen Whitmer of Michigan, a prime political target in partisan clashes over stay-at-home orders during the coronavirus outbreak, signed three executive orders on Thursday to reinstate a state of emergency during the coronavirus pandemic.",Michigan Governor Reinstates State of Emergency as Protests Ramp Up,2020-05-01T04:56:14+0000,article,U.S.,News,"Demonstrations, Protests and Riots;Coronavirus (2019-nCoV);State Legislatures;Quarantines;Executive Orders and Memorandums;Whitmer, Gretchen;Michigan"
16,The small-scale events could create a road map to help the men’s and women’s tours return.,"Tennys Sandgren, who was on a roll before professional tennis shut down, has had enough of video games and self-isolation in his home near Nashville, Tenn.",Tennis Coming Back Slowly With Exhibition Matches,2020-05-01T05:00:06+0000,article,Sports,News,"Tennis;Universal Tennis LLC;Sandgren, Tennys;Women's Tennis Assn;Assn of Tennis Professionals;Shutdowns (Institutional);Coronavirus (2019-nCoV)"
17,A soapy period drama from two creators of “Glee” debuts on Netflix. And a new series on Disney Plus showcases famous film props.,"HOLLYWOOD Stream on Netflix. Hollywood’s golden era is viewed through a gilded but piercing lens in this soapy new mini-series, from Ryan Murphy and Ian Brennan, both of “Glee.” Set in a sumptuous version of 1940s Los Angeles, “Hollywood” imagines a more inclusive version of that era’s Tinseltown. Many characters are people to whom the real Hollywood would have been hostile. They include Archie (Jeremy Pope), an aspiring screenwriter who is black and gay, and has a movie to sell. He teams up with a young director (Darren Criss) to make that dream a reality. “The bid to make Archie’s movie starts as a glitzy, funny, gimlet-eyed dissection of bigotry and power,” James Poniewozik wrote in his review for The New York Times. “Then it lurches, halfway through, into a pep talk about what some kids can accomplish if they gather up their moxie and put on a show.”",What’s on TV Friday: ‘Hollywood’ and ‘Prop Culture’,2020-05-01T05:00:06+0000,article,Arts,News,Television;Movies
18,Interpreting lines from “Leaves of Grass” about the beauty and wonder to be discovered in the minuscule and routine.,,"Locked Inside, We’re Like Whitman, Finding Joy in Smallness",2020-05-01T05:04:11+0000,article,Books,News,"Whitman, Walt;Books and Literature;Garcia, Sergio;Leaves of Grass (Book)"
19,An emergency room doctor in Melbourne describes the terror and relief of waiting for a tsunami of coronavirus patients that never arrived.,"When my director cut short his camping holiday on Australia Day, to come back to the emergency department at the Melbourne hospital where I work as an emergency physician, I thought he was unnecessarily sacrificing his life for the sake of his work. Covid-19 was still mainly confined to China. Italy was not yet in crisis and New York wasn’t even on our radar. But in hindsight, his return was prudent.",Racing Against the Virus From Inside Australia’s Healthcare System,2020-05-01T05:29:09+0000,article,World,briefing,Emergency Medical Treatment;Coronavirus (2019-nCoV);Hospitals;Australia
20,This word has appeared in three articles on NYTimes.com in the past year.,_________,Word + Quiz: peroration,2020-05-01T06:00:01+0000,article,The Learning Network,News,
21,"Twenty percent of the staff at one hospital is quarantined, but doors remain open as the war wounded are brought in.","KABUL, Afghanistan — Even when their city was repeatedly overrun by the Taliban and fighting reached their doorsteps, the doctors and nurses in the northern Afghan city of Kunduz kept working. They dressed wounds and saved lives at the main government hospital even as a nearby trauma center was bombed, killing more than 40 people.","‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",2020-05-01T06:33:57+0000,article,World,News,Quarantines;Hospitals;Coronavirus (2019-nCoV);Afghanistan War (2001- );Epidemics;Taliban;Faryab Province (Afghanistan);AFGHANISTAN;Kandahar (Afghanistan);Kunduz (Afghanistan)
22,What is this image saying? How does it relate to or comment on society or current events?,What is this image saying? How does it relate to or comment on society or current events? What is your opinion of its message?,Eyeballs,2020-05-01T07:00:02+0000,article,The Learning Network,News,
23,"From New York to Los Angeles, tenant groups are encouraging millions of renters to withhold May rent, which landlords warn would be devastating.","As unemployment soars across the country, tenants rights groups and community nonprofits have rallied around an audacious goal: to persuade the government to halt rent and mortgage payments — without back payments accruing — for as long as the economy is battered by the coronavirus.",#CancelRent Is New Rallying Cry for Tenants. Landlords Are Alarmed.,2020-05-01T07:00:08+0000,article,New York,News,"Real Estate and Housing (Residential);Renting and Leasing (Real Estate);Landlords;Evictions;Unemployment;New York City;United States;United States Economy;Coronavirus (2019-nCoV);Coronavirus Aid, Relief, and Economic Security Act (2020);Demonstrations, Protests and Riots"
24,"Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for May.","For more recommendations on what to stream, sign up for our twice-weekly Watching newsletter here.","The Best Movies and TV Shows Coming to Netflix, Amazon and More in May",2020-05-01T07:00:09+0000,article,Arts,News,Television;Movies;Documentary Films and Programs;Hollywood (TV Program);The Eddy (TV Program);Unbreakable Kimmy Schmidt vs The Reverend (TV Program);Douglas (Play);Spaceship Earth (Movie);Upload (TV Program);Homecoming (TV Program);The Vast of Night (Movie);On the Record (Movie);Central Park (TV Program)
25,"The city’s turbulent history has forged an irreverent, anti-authoritarian and, in some ways, cynical character. Can that survive the coronavirus?","ROME — Rome turned 2,773 last week.","Rome Has Been Sacked, Conquered and Abandoned. Now It’s the Pandemic’s Turn.",2020-05-01T07:00:13+0000,article,World,News,Rome (Italy);Quarantines;Coronavirus (2019-nCoV)
26,"In this drama from one of the screenwriters of “Black Panther,” a young man embarks on a journey of belated self-discovery.","In the early moments of “All Day and a Night,” a gut-wrenching drama now streaming on Netflix, comes an emotional courtroom scene. Jahkor Lincoln (Ashton Sanders) sits with a look of stoic resignation in a room packed with the loved ones of the two people he has murdered. Before the judge delivers Jahkor’s life sentence, the mother of one of the deceased stands to speak. “My granddaughter is only 10 years old,” she says. “You took away her whole family and never even given a reason why. That’s all I want to know. Why?”",‘All Day and a Night’ Review: Growth Behind Bars,2020-05-01T07:01:04+0000,article,Movies,Review,"Movies;All Day and a Night (Movie);Cole, Joe Robert;Sanders, Ashton;Wright, Jeffrey (1965- )"
27,"In this comedy from Alice Wu, love letters reveal everything about a person, except their identity.","Every generation gets its own “Cyrano de Bergerac,” from the Steve Martin comedy “Roxanne” to Netflix’s “Sierra Burgess Is a Loser.” But Alice Wu’s new high school-set film, “The Half of It” (also on Netflix), transcends the limitations that frequently serve as obstacles to ingenuity in young adult movies. By exploring issues of race and queerness with emotional complexity, it treats teenagers with the sophistication they deserve.","‘The Half of It’ Review: Being Yourself (and That Person, Too)",2020-05-01T07:01:04+0000,article,Movies,Review,"Movies;Wu, Alice;Lewis, Leah (Actor);The Half of It (Movie)"
28,Did you follow the headlines this week?,Did you follow the headlines this week?,"News Quiz: Coronavirus, Remdesivir, Bill de Blasio",2020-05-01T07:30:01+0000,multimedia,Briefing,Interactive Feature,
29,"In this lesson, students will reflect on what teen-created and -curated spaces mean to them and will design something for the High Fashion Twitter Met Gala.","Featured Article: “Their Met Gala, Their Way. You’re Invited.” by Vanessa Friedman","Lesson of the Day: ‘Their Met Gala, Their Way. You’re Invited.’",2020-05-01T08:00:01+0000,article,The Learning Network,News,
30,"After weeks of doing his show from home, Seth Meyers pines for the days when he had “an audience of human beings.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. We’re all stuck at home at the moment, so here are the 50 best movies on Netflix right now.",Late Night Hosts Are Starting to Feel the Strain,2020-05-01T08:34:49+0000,article,Arts,News,"Colbert, Stephen;Kimmel, Jimmy;Meyers, Seth;Noah, Trevor (1984- );Desus & Mero (TV Program);Late Night with Seth Meyers (TV Program);The Daily Show with Trevor Noah (TV Program)"
31,Our critic Amanda Hess explains her complicated love of watching nature reclaim civilization on the internet as humans remain in quarantine.,Our critic Amanda Hess explains her complicated love of watching nature reclaim civilization on the internet as humans remain in quarantine.,I Watched These Pandas Have Sex. I’ve Never Been So Happy.,2020-05-01T09:00:01+0000,multimedia,Arts,Video,Coronavirus (2019-nCoV);Pandas;Sex
32,"Soccer fields, football stadiums, tennis courts and martial arts arenas have been filling gaps in health care systems overwhelmed by the coronavirus pandemic.","Soccer fields, football stadiums, tennis courts and martial arts arenas have been filling gaps in health care systems overwhelmed by the coronavirus pandemic.",The World’s Stadiums Become a Lifeline,2020-05-01T09:00:02+0000,multimedia,Sports,Interactive Feature,Coronavirus (2019-nCoV);Stadiums and Arenas;Tests (Medical);Photography
33,"With billions of people staying home, the world is reinventing the weekend.","With billions of people staying home, the world is reinventing the weekend.",The New Saturday Night,2020-05-01T09:00:03+0000,multimedia,Arts,Interactive Feature,Photography;AMMAN (JORDAN);Australia;Brooklyn (NYC);Colorado;Istanbul (Turkey);Mexico City (Mexico);Memphis (Tenn);Maryland;Los Angeles (Calif);London (England);JOSHUA TREE (CALIF);Johannesburg (South Africa);Japan;Milan (Italy);Russia;Montreal (Quebec);Oahu (Hawaii);New Delhi (India);Seoul (South Korea);Santos (Brazil);Chicago (Ill);Paris (France);Phoenix (Ariz);Sydney (Australia);Quarantines;Quarantine (Life and Culture)
34,Test your knowledge of this week’s health news.,Test your knowledge of this week’s health news.,"Weekly Health Quiz: Coronavirus, Sunshine and 4-Second Workouts",2020-05-01T09:00:03+0000,multimedia,Well,Interactive Feature,Coronavirus (2019-nCoV);Cholesterol;Vitamins;Pulse Oximetry;Quarantines;Heart;Sunlight;Medicine and Health
