,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"Because of contract-tracing rules, four other players and a staff member will be held out of Washington’s season opener against the Mets on Thursday.","WASHINGTON — In the last Major League Baseball game of 2020, the Los Angeles Dodgers were forced to remove third baseman Justin Turner from the final moments of the World Series after learning that he had tested positive for the coronavirus.",Nationals Player Tests Positive for Virus Before Opening Day,2021-04-01T00:11:14+0000,article,Sports,News,"Baseball;Washington Nationals;New York Mets;Rizzo, Mike (1960- );Coronavirus Reopenings"
1,Archegos Capital Management’s use of swaps helped conceal its exposure to huge blocks of shares but showed once again how lightly regulated derivatives can shake the financial system.,"After the implosion of a little-known investment firm saddled banks around the world with billions of dollars in losses last week, one big question is being asked all over Wall Street: How did they let this happen?",Investment Firm’s Collapse Put Unseen Risks on Full Display,2021-04-01T00:16:27+0000,article,Business Day,News,"Derivatives (Financial Instruments);Regulation and Deregulation of Industry;Archegos Capital Management LLC;Banking and Financial Institutions;Credit Suisse Group AG;Nomura Holdings Inc;ViacomCBS Inc;Hwang, Bill;Stocks and Bonds;Hedge Funds"
2,"During the third day of Derek Chauvin’s trial, witness after witness agonized over whether they could have done anything to stop what would eventually happen to George Floyd.","MINNEAPOLIS — He chatted with a store clerk about playing football. He grabbed a banana off a shelf, flipped through a wad of cash, and hugged and exchanged pleasantries with a woman, laughing with his hand on her back.",Clerk Who Questioned $20 Bill Watched Floyd Arrest With ‘Disbelief and Guilt’,2021-04-01T00:20:17+0000,article,U.S.,News,"Chauvin, Derek (1976- );Floyd, George (d 2020);Murders, Attempted Murders and Homicides;Police Brutality, Misconduct and Shootings;Cup Foods (Minneapolis, Minn, Retailer);Minneapolis (Minn);Black People;Blacks"
3,"President Biden feels a burning sense of competition, his aides say, to prove that democratic capitalism can work.","WASHINGTON — It has been 40 years since President Ronald Reagan declared in his first inaugural address that “government is not the solution to our problems, government is the problem.”","40 Years After Reagan, a Bet Big Government Can Get Something Done",2021-04-01T00:22:17+0000,article,U.S.,News Analysis,"Biden, Joseph R Jr;Infrastructure (Public Works);Reagan, Ronald Wilson;Presidents and Presidency (US);United States Economy;United States Politics and Government;American Jobs Plan (2021)"
4,"Peter Navarro, frustrated by the snail’s pace response to Covid-19, gave contracts worth hundreds of millions of dollars to politically connected or novice companies, according to a House inquiry.",The Trump administration was so slow to prepare for the coronavirus pandemic that a top aide to President Donald J. Trump took matters into his own hands.,Investigators say a Trump aide took it upon himself to award hefty pandemic contracts.,2021-04-01T00:32:40+0000,article,World,News,"internal-essential;Navarro, Peter;Coronavirus (2019-nCoV);Government Contracts and Procurement;Trump, Donald J"
5,"The first lady was in Delano, Calif., to mark the birthday of César Chávez, the labor organizer who formed the country’s first successful farmworkers’ union.","DELANO, Calif. — Jill Biden, the first lady, traveled to California on Wednesday to visit a pop-up vaccination site for farmworkers who have lobbied for priority access to shots during the pandemic.","Jill Biden, in California, Lends Support to Farmworkers Seeking Vaccinations",2021-04-01T00:50:11+0000,article,U.S.,News,"Biden, Jill Tracy Jacobs;Central Valley (Calif);Agriculture and Farming;Workplace Hazards and Violations;Coronavirus (2019-nCoV);Vaccination and Immunization;Organized Labor;Citizenship and Naturalization;American Rescue Plan (2021);United States Economy;United States Politics and Government"
6,More than two dozen people were crowded into an S.U.V. that collided with a tractor-trailer near the border. Jose Cruz Noguez was accused of coordinating the smuggling attempt.,Federal authorities in California charged a man on Tuesday with coordinating a smuggling attempt that resulted in the deaths of 13 Mexican and Guatemalan citizens in one of the deadliest border-related crashes in decades.,Man Is Charged With Smuggling in Crash That Killed 13 Migrants in California,2021-04-01T00:54:01+0000,article,U.S.,News,"Traffic Accidents and Safety;Illegal Immigration;Smuggling;California;Cruz Noguez, Jose;Holtville (Calif);Mexico"
7,"As campuses struggle under the shadow of the pandemic, many students report having trouble paying for food, housing and other basic needs.","Colleges around the country have been struggling under the shadow of the coronavirus, facing declining enrollment and major budget cuts. And students have mourned the loss of the traditional college experience, grappling with the disruption as campuses closed and many classes moved on line.","For many college students, pandemic life is disappointing. For others, it is a financial crisis.",2021-04-01T01:32:32+0000,article,World,News,internal-essential;Coronavirus (2019-nCoV);Colleges and Universities;Poverty
8,"Child-care centers improvised during the pandemic, scrambling to stay open with razor-thin budgets and little government guidance. How long will the short-term solutions last?","In suburban Ohio, a decades-old child-care center that was thriving before the pandemic shut its doors for the final time in August.",Child Care in Crisis: Can Biden’s Plan Save It?,2021-04-01T01:33:34+0000,article,U.S.,News,"Child Care;Labor and Jobs;Women and Girls;Coronavirus (2019-nCoV);Small Business;Rockport Early Childhood Center (Rocky River, Ohio );Ohio;ACCA Child Development Center (Annandale, Va);Virginia;Kinder Kare (Michigan Child Care Centers Inc);Michigan;Ohana Family Child Care (Vista, Calif);California;United States"
9,Sam Ezersky wishes us all a happy April Fools’ Day.,"THURSDAY PUZZLE — It doesn’t happen every year, but once in a while the puzzle editors like to throw solvers a curveball on April 1. The most notable one — at least while I’ve been here — was in 2016, when Peter Gordon made a puzzle containing the message, “DUE TO BUDGET CUTS, THE NEW YORK TIMES CROSSWORD PUZZLE WILL END TOMORROW.” I thought that this was a hilarious April Fools’ joke that no one would possibly take seriously, so the Wordplay column for that day played along.","Quite a Job, You Have to Admit",2021-04-01T02:00:03+0000,article,Crosswords & Games,News,Crossword Puzzles
10,"Corrections that appeared in print on Thursday, April 1, 2021.","An article on Monday about the revival of hunting and trapping certain predators in Montana misstated how Gov. Greg Gianforte of Montana characterized his trapping experience. He said he had been trapping since he was a “tot,” not that he had been trapping wolves since that time. Because of editing errors, the article also described incorrectly the state and one of its senators. Montana is the third least dense state in the country, not the third least populous; and Steve Daines is the state’s junior senator, not its senior senator.","Corrections: April 1, 2021",2021-04-01T02:19:07+0000,article,Corrections,Correction,
11,"Quotation of the Day for Thursday, April 1, 2021.",“I thought I would be so happy. And I just feel such grief because of the year of time I have lost and I will never get back.”,Quotation of the Day: Euphoria and Sorrow as Nursing Homes Reopen a Year Later,2021-04-01T02:21:08+0000,article,Today’s Paper,Quote,
12,"Mr. LaHood did not disclose the check on two government ethics forms, federal prosecutors said.","Ray LaHood, who served as transportation secretary for President Barack Obama from 2009 to 2013, took $50,000 from an associate of a Lebanese-Nigerian billionaire in 2012 and failed to disclose it, federal prosecutors announced Wednesday.","Ray LaHood, Obama’s transportation secretary, failed to disclose a $50,000 check from an associate of a Lebanese-Nigerian billionaire.",2021-04-01T02:55:46+0000,article,U.S.,News,"LaHood, Ray;Ethics and Official Misconduct;Fines (Penalties)"
13,"The defendants, including the media tycoon Jimmy Lai and the barristers Martin Lee and Margaret Ng, were some of the city’s most prominent activists.","HONG KONG — Seven of Hong Kong’s veteran pro-democracy leaders were found guilty on Thursday of unauthorized assembly, a verdict seen by their supporters as a severe assault on the freedom of speech and other civil liberties that once were core to the city’s identity.",Hong Kong Court Convicts Democracy Leaders Over Protest March,2021-04-01T03:06:25+0000,article,World,News,"China;Hong Kong;Hong Kong Protests (2019);Politics and Government;Freedom of Speech and Expression;Freedom of Assembly;Lai, Jimmy;Lee, Martin C M;Ng, Margaret (1948- );Political Prisoners"
14,"The authorities said the boy died in the arms of a woman, believed to be his mother, who was trying to protect him. The woman was wounded and hospitalized.","ORANGE, Calif. — A gunman opened fire at a Southern California real estate office on Wednesday, killing four people, including a 9-year-old boy who the authorities said appeared to have died in his mother’s arms as she tried to shield him from the gunfire.",A 9-Year-Old Boy Is Among 4 Killed in Southern California Shooting,2021-04-01T03:12:07+0000,article,U.S.,News,"Mass Shootings;Murders, Attempted Murders and Homicides;Orange (Calif);Gonzalez, Aminadab Gaxiola"
