,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"The Pentagon said the decision was because of military readiness, but it comes as the Republican senator from Alabama has held up military promotions to protest an abortion access policy.","The Pentagon announced on Monday that President Biden had canceled an order by former President Donald J. Trump to move the United States Space Command headquarters to Alabama, prompting an outcry from Republicans who accused him of acting out of political spite amid a fierce partisan standoff over the Pentagon’s abortion access policies.",Biden Cancels Space Command Move to Alabama Amid Tuberville Feud,2023-08-01T00:27:55+0000,article,U.S.,News,"United States Politics and Government;United States Defense and Military Forces;Abortion;United States Space Force;Biden, Joseph R Jr;Tuberville, Tommy;Alabama;Colorado Springs (Colo)"
1,He played dozens of memorable roles on big and small screens throughout his career. We’ve rounded up what to watch and where to watch it.,"Paul Reubens, who died on Sunday at age 70, will always be remembered for his beloved alter ego, the perpetually childlike Pee-wee Herman — a character so popular that it was able to carry a stage show, movies and a TV series. But Reubens also made memorable impressions playing a variety of supporting characters of the big and small screens — like Penguin’s father in “Batman Returns” and the turtleneck-wearing fixer Mr. Vargas in “The Blacklist,” just to name a few out of dozens.",Paul Reubens Was More Than Pee-wee. Here are 8 Great Performances.,2023-08-01T01:15:10+0000,article,Arts,News,"Television;Movies;Reubens, Paul;Pee-wee's Playhouse (TV Program);Pee-wee's Big Adventure (Movie);Mosaic (TV Program);30 Rock (TV Program);Buffy the Vampire Slayer (TV Program);Portlandia (TV Program);The Nightmare Before Christmas (Movie);Flight of the Navigator (Movie);Actors and Actresses"
2,Kathryn Ladner branches out.,Jump to: Today’s Theme | Tricky Clues | Solving Tip,"Crunch Muscles, for Short",2023-08-01T02:00:07+0000,article,Crosswords & Games,News,Crossword Puzzles
3,The scramble to cover legal bills for former President Donald J. Trump and his associates has prompted what appears to be the largest refund in federal campaign finance history.,"Former President Donald J. Trump’s political action committee, which began last year with $105 million, now has less than $4 million left in its account after paying tens of millions of dollars in legal fees for Mr. Trump and his associates.","After Paying Lawyers, Trump’s PAC Is Nearly Broke",2023-08-01T03:00:04+0000,article,U.S.,News,"Campaign Finance;Presidential Election of 2024;Federal Criminal Case Against Trump (Documents Case);Political Action Committees;United States Politics and Government;Trump, Donald J;Save America PAC;Make America Great Again Inc;Republican Party"
4,The details of Ukraine’s drone strikes.,"A Times investigation found evidence that at least three different Ukrainian-made drone models had been used in attacks inside Russia, including Moscow, indicating a Ukrainian role in strikes that Kyiv has denied carrying out or declined to claim responsibility for. Ukraine is racing to scale up its drone fleet, and to attack more frequently in Russia.",Tuesday Briefing,2023-08-01T03:39:08+0000,article,Briefing,briefing,
5,Anthropologists are finding that women in modern foraging societies have played a major role in catching game.,"It’s often viewed as a given: Men hunted, women gathered. After all, the anthropological reasoning went, men were naturally more aggressive, whereas the slower pace of gathering was ideal for women, who were mainly focused on caretaking.","Move Over, Men: Women Were Hunters, Too",2023-08-01T04:01:13+0000,article,Science,News,your-feed-science;Archaeology and Anthropology;Women and Girls;Hunting and Trapping;PLoS One (Journal);Peru;internal-open-access-from-nl
6,"A new law underscores how Vladimir V. Putin is increasingly using the war in Ukraine as justification for greater restrictions on L.G.B.T.Q. life, portraying it as a consequence of deviant Western values.","Jan Dvorkin had raised and nurtured his adopted son in Moscow for seven years until, one day in May, the Russian authorities notified him they were revoking custody. A woman Mr. Dvorkin knew had filed an official complaint, saying that because he was transgender and gay, he was an unfit parent.",Putin’s Crackdown Leaves Transgender Russians Bracing for Worse,2023-08-01T04:01:14+0000,article,World,News,"Russia;Putin, Vladimir V;Homosexuality and Bisexuality;Transgender;Discrimination;Law and Legislation;Russian Invasion of Ukraine (2022);Politics and Government;Propaganda;Ukraine"
7,"Quotation of the Day for Tuesday, August 1, 2023.",“That’s the interest of science. You end somewhere you didn’t presume.”,"Quotation of the Day: Scientists Revive Two Roundworms That Were Encased in Siberian Permafrost for 46,000 Years",2023-08-01T04:10:40+0000,article,Corrections,Quote,
8,"Corrections that appeared in print on Tuesday, Aug. 1, 2023.","A picture caption with an article on Friday about the 70th anniversary of the armistice that halted the Korean War misstated the length of that conflict. It lasted about three years and one month, not less than three years.","Corrections: Aug. 1, 2023",2023-08-01T04:18:36+0000,article,Corrections,News,
9,"Responses from a survey of 1,329 registered voters nationwide, including an oversample of 818 registered Republican voters, conducted July 23-27, 2023","Responses from a survey of 1,329 registered voters nationwide, including an oversample of 818 registered Republican voters, conducted July 23-27, 2023",Topline Results: July 2023 Times/Siena Poll of Registered Voters,2023-08-01T04:19:08+0000,multimedia,U.S.,Interactive Feature,internal-open-access;New York Times/Siena College Poll
