video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7308913410413055262,2023-12-04T20:17:04,381,US,,502000,698,872,11600000,Grey’s Anatomy; Perfect Penny..Pt 1 Szn 12 epi 5 #jowilson #greysabc #greysanatomyfan #greysanatomyaddict #greysanatomyaddict02 #trending #greysanatomy #doctor #fyp #foryou #trendingmovies #hospital #perfectpenny,False,,moviess1q,Moviesaz12q,,,,,,False
7299469698821885226,2023-11-09T09:30:39,60,US,,19500,277,365,1600000,#hamsterfish #viralvintage #hamstertok #fishtok ,False,,viralvintage,viral history,,,,,,False
7309289501279489323,2023-12-05T20:36:34,14,US,,489,56,11,136900,"Fish tank hamster cage, crazy illusion #fyp #funny #illusion #fishtank ",False,,.blurredview,BlurredView,,,,,,False
7306241104838446378,2023-11-27T15:27:12,31,US,,3809,200,63,572700,How is that even possible!!🤔 #reels ,False,,dado_101,Dado,,,,,,False
7308781653936164138,2023-12-04T11:45:46,14,US,"aquatic hamster, aquatic hamster explained, aquatic hamster from ecuador, Hamster, hamster in fishtank illusion, double aquarium hamster, hamster pet, hamster cage setup, aquarium, Fish Tank",2900000,63800,21400,52600000,The little hamster lives in a fish tank 小仓鼠住在鱼缸里,False,,daxinglei,DaXingLei,,,,,,False
